,Marginal,Node,Level,Branch,OR_Details,Additional_Stat,Tree
0,-459.15761824215997,ZFPM2,1,2,"['ZFPM2', 46.0, 68.0, 169.0, 496.0, 1.985381134702402]",-448.7286477013114,1
1,-377.09433966656894,RECQL4,2,0,"[np.str_('RECQL4'), np.float64(1.0), np.float64(28.0), np.float64(168.0), np.float64(468.0), np.float64(0.09948979591836735)]",-370.2541361412835,1
2,-366.1936931307371,CYP11B1,3,0,"[np.str_('CYP11B1'), np.float64(7.0), np.float64(2.0), np.float64(161.0), np.float64(466.0), np.float64(10.130434782608695)]",-361.4578279059341,1
3,-358.27977407558615,ERBB2,4,0,"[np.str_('ERBB2'), np.float64(29.0), np.float64(44.0), np.float64(132.0), np.float64(422.0), np.float64(2.1070936639118454)]",-351.70123089550816,1
4,-304.51851383118816,FAM135B,5,0,"[np.str_('FAM135B'), np.float64(6.0), np.float64(3.0), np.float64(126.0), np.float64(419.0), np.float64(6.65079365079365)]",-299.27711961203994,1
5,-295.94491510186475,CASC7,6,0,"[np.str_('CASC7'), np.float64(2.0), np.float64(0.0), np.float64(124.0), np.float64(419.0), np.float64(inf)]",-294.3976225047227,1
6,-293.29901021605457,TTN,7,0,"[np.str_('TTN'), np.float64(25.0), np.float64(45.0), np.float64(99.0), np.float64(374.0), np.float64(2.0987654320987654)]",-289.2129392245924,1
7,-243.76747222383204,RN7SKP153,8,0,"[np.str_('RN7SKP153'), np.float64(3.0), np.float64(1.0), np.float64(96.0), np.float64(373.0), np.float64(11.65625)]",-241.41252418146732,1
8,-239.33308263978748,DENND3,9,0,"[np.str_('DENND3'), np.float64(4.0), np.float64(3.0), np.float64(92.0), np.float64(370.0), np.float64(5.36231884057971)]",-236.98223798503722,1
9,-232.48242831470697,TMEM67,10,0,"[np.str_('TMEM67'), np.float64(3.0), np.float64(2.0), np.float64(89.0), np.float64(368.0), np.float64(6.202247191011236)]",-230.95652007858524,1
10,-227.37300114012913,SLC39A4,11,0,"[np.str_('SLC39A4'), np.float64(2.0), np.float64(1.0), np.float64(87.0), np.float64(367.0), np.float64(8.436781609195402)]",-225.71861183983276,1
11,-223.9268523706047,FAM49B,12,0,"[np.str_('FAM49B'), np.float64(1.0), np.float64(0.0), np.float64(86.0), np.float64(367.0), np.float64(inf)]",-222.956249649377,1
12,-222.26310246881707,COL22A1,13,0,"[np.str_('COL22A1'), np.float64(1.0), np.float64(0.0), np.float64(85.0), np.float64(367.0), np.float64(inf)]",-221.28300878038414,1
