Gene_pair,Number of appearances as partners in the same branch,Rank of number of appearances as partners in the same branch,Branch,Start_gene,Finish_gene
MYEOV_0___TP53,12,1.0,0,MYEOV,TP53
TP53_0___GATA3,11,4.0,0,TP53,GATA3
TP53_0___PIK3CA,11,4.0,0,TP53,PIK3CA
MYEOV_0___CSMD3,11,4.0,0,MYEOV,CSMD3
TTN_0___TP53,11,4.0,0,TTN,TP53
CSMD1_0___TP53,11,4.0,0,CSMD1,TP53
MYEOV_0___ERBB2,10,12.0,0,MYEOV,ERBB2
CSMD1_0___GATA3,10,12.0,0,CSMD1,GATA3
TTN_0___PIK3CA,10,12.0,0,TTN,PIK3CA
TTN_0___CDH1,10,12.0,0,TTN,CDH1
CDH1_0___TP53,10,12.0,0,CDH1,TP53
MYEOV_1___TP53,10,12.0,1,MYEOV,TP53
TTN_0___ERBB2,10,12.0,0,TTN,ERBB2
TP53_0___OBSCN,10,12.0,0,TP53,OBSCN
CSMD1_0___PIK3CA,10,12.0,0,CSMD1,PIK3CA
MYEOV_0___CSMD1,10,12.0,0,MYEOV,CSMD1
MYEOV_0___PIK3CA,10,12.0,0,MYEOV,PIK3CA
MYEOV_0___GATA3,10,12.0,0,MYEOV,GATA3
ZFPM2_0___CSMD1,9,24.0,0,ZFPM2,CSMD1
TP53_0___CDH1,9,24.0,0,TP53,CDH1
GATA3_0___PIK3CA,9,24.0,0,GATA3,PIK3CA
ZFPM2_0___PIK3CA,9,24.0,0,ZFPM2,PIK3CA
MYEOV_0___TRPS1,9,24.0,0,MYEOV,TRPS1
ZFPM2_0___GATA3,9,24.0,0,ZFPM2,GATA3
MYEOV_0___TTN,9,24.0,0,MYEOV,TTN
TTN_0___CSMD3,9,24.0,0,TTN,CSMD3
TTN_0___CSMD1,9,24.0,0,TTN,CSMD1
TTN_0___OXR1,9,24.0,0,TTN,OXR1
CSMD1_0___OBSCN,8,38.0,0,CSMD1,OBSCN
ZFPM2_0___TP53,8,38.0,0,ZFPM2,TP53
PLEKHA6_0___PIK3CA,8,38.0,0,PLEKHA6,PIK3CA
CSMD1_0___TARBP1,8,38.0,0,CSMD1,TARBP1
CDH1_0___GATA3,8,38.0,0,CDH1,GATA3
TRIM67_0___PIK3CA,8,38.0,0,TRIM67,PIK3CA
CSMD1_0___CDH1,8,38.0,0,CSMD1,CDH1
ZFPM2_0___CSMD3,8,38.0,0,ZFPM2,CSMD3
MYEOV_0___OXR1,8,38.0,0,MYEOV,OXR1
ERBB2_0___PIK3CA,8,38.0,0,ERBB2,PIK3CA
CDH1_0___PIK3CA,8,38.0,0,CDH1,PIK3CA
CSMD1_0___CSMD3,8,38.0,0,CSMD1,CSMD3
MYEOV_0___CDH1,8,38.0,0,MYEOV,CDH1
MYEOV_1___OBSCN,8,38.0,1,MYEOV,OBSCN
CSMD1_0___ERBB2,8,38.0,0,CSMD1,ERBB2
MYEOV_0___EFR3A,8,38.0,0,MYEOV,EFR3A
ZFPM2_0___CDH1,8,38.0,0,ZFPM2,CDH1
ZFPM2_0___BAI1,8,38.0,0,ZFPM2,BAI1
ZFPM2_0___ERBB2,8,38.0,0,ZFPM2,ERBB2
TTN_0___HMCN1,7,68.0,0,TTN,HMCN1
CSMD1_0___EFR3A,7,68.0,0,CSMD1,EFR3A
TTN_0___AHCTF1,7,68.0,0,TTN,AHCTF1
TP53_0___NOTCH2,7,68.0,0,TP53,NOTCH2
TARBP1_0___OBSCN,7,68.0,0,TARBP1,OBSCN
HMCN1_0___TP53,7,68.0,0,HMCN1,TP53
TTN_0___GATA3,7,68.0,0,TTN,GATA3
MYEOV_1___GATA3,7,68.0,1,MYEOV,GATA3
MYEOV_0___DENND3,7,68.0,0,MYEOV,DENND3
OR2T2_0___OR2T3,7,68.0,0,OR2T2,OR2T3
CSMD1_0___TTN,7,68.0,0,CSMD1,TTN
ZFPM2_0___USH2A,7,68.0,0,ZFPM2,USH2A
OR2T2_0___TARBP1,7,68.0,0,OR2T2,TARBP1
CSMD1_0___NOTCH2,7,68.0,0,CSMD1,NOTCH2
ZFPM2_0___DENND3,7,68.0,0,ZFPM2,DENND3
MYEOV_0___OBSCN,7,68.0,0,MYEOV,OBSCN
CSMD1_0___FLG,7,68.0,0,CSMD1,FLG
GATA3_1___PIK3CA,7,68.0,1,GATA3,PIK3CA
ZFPM2_0___TTN,7,68.0,0,ZFPM2,TTN
MYEOV_0___USH2A,7,68.0,0,MYEOV,USH2A
ZFPM2_0___OR2T1,7,68.0,0,ZFPM2,OR2T1
MYEOV_0___PKHD1L1,7,68.0,0,MYEOV,PKHD1L1
ZFPM2_0___TARBP1,7,68.0,0,ZFPM2,TARBP1
MYEOV_1___NOTCH2,7,68.0,1,MYEOV,NOTCH2
PLEKHA6_0___TP53,7,68.0,0,PLEKHA6,TP53
ZFPM2_0___TRPS1,7,68.0,0,ZFPM2,TRPS1
MYEOV_0___HMCN1,7,68.0,0,MYEOV,HMCN1
TRIM67_0___OR2T3,7,68.0,0,TRIM67,OR2T3
SPTA1_0___PIK3CA,7,68.0,0,SPTA1,PIK3CA
OR2T2_0___PIK3CA,7,68.0,0,OR2T2,PIK3CA
ZFPM2_0___TCHH,7,68.0,0,ZFPM2,TCHH
TP53_0___TTN,7,68.0,0,TP53,TTN
TP53_0___ERBB2,7,68.0,0,TP53,ERBB2
GATA3_0___TP53,7,68.0,0,GATA3,TP53
MYEOV_0___PLEKHA6,7,68.0,0,MYEOV,PLEKHA6
TTN_0___OR2L3,7,68.0,0,TTN,OR2L3
ZFPM2_0___NDUFB9,7,68.0,0,ZFPM2,NDUFB9
MYEOV_1___TARBP1,7,68.0,1,MYEOV,TARBP1
TRIM67_0___GPR137B,7,68.0,0,TRIM67,GPR137B
MYEOV_1___PPFIA1,7,68.0,1,MYEOV,PPFIA1
CSMD1_0___COL22A1,6,122.0,0,CSMD1,COL22A1
EFR3A_0___ERBB2,6,122.0,0,EFR3A,ERBB2
PPFIA1_0___CSMD3,6,122.0,0,PPFIA1,CSMD3
MYEOV_0___CNBD1,6,122.0,0,MYEOV,CNBD1
MYEOV_0___ERLIN2,6,122.0,0,MYEOV,ERLIN2
MYEOV_0___TACC1,6,122.0,0,MYEOV,TACC1
ADCK5_0___TP53,6,122.0,0,ADCK5,TP53
PPFIA1_0___TTN,6,122.0,0,PPFIA1,TTN
TTN_0___MYC,6,122.0,0,TTN,MYC
ZFPM2_0___ADCK5,6,122.0,0,ZFPM2,ADCK5
CSMD1_0___DENND3,6,122.0,0,CSMD1,DENND3
MYEOV_0___GPR137B,6,122.0,0,MYEOV,GPR137B
MYEOV_0___OR2T34,6,122.0,0,MYEOV,OR2T34
TTN_0___NOTCH2,6,122.0,0,TTN,NOTCH2
PPFIA1_1___TARBP1,6,122.0,1,PPFIA1,TARBP1
MYEOV_0___ZNF670,6,122.0,0,MYEOV,ZNF670
MYEOV_0___OR2T3,6,122.0,0,MYEOV,OR2T3
PPFIA1_0___TP53,6,122.0,0,PPFIA1,TP53
MYEOV_0___PPFIA1,6,122.0,0,MYEOV,PPFIA1
PPFIA1_0___SPTA1,6,122.0,0,PPFIA1,SPTA1
MYEOV_0___KCNU1,6,122.0,0,MYEOV,KCNU1
ZNF670_0___OXR1,6,122.0,0,ZNF670,OXR1
MYEOV_0___OR2T1,6,122.0,0,MYEOV,OR2T1
ZNF670_0___OR2T3,6,122.0,0,ZNF670,OR2T3
CSMD1_0___OR2T34,6,122.0,0,CSMD1,OR2T34
HMCN1_0___GATA3,6,122.0,0,HMCN1,GATA3
MYEOV_1___CSMD1,6,122.0,1,MYEOV,CSMD1
CSMD1_0___NDUFB9,6,122.0,0,CSMD1,NDUFB9
CSMD1_0___OXR1,6,122.0,0,CSMD1,OXR1
TRIM67_0___CSMD1,6,122.0,0,TRIM67,CSMD1
TRIM67_0___RAD54B,6,122.0,0,TRIM67,RAD54B
OR2T3_0___OXR1,6,122.0,0,OR2T3,OXR1
TTN_0___BAI1,6,122.0,0,TTN,BAI1
CSMD1_0___HSF1,6,122.0,0,CSMD1,HSF1
CSMD1_0___RAD54B,6,122.0,0,CSMD1,RAD54B
INTS8_0___CSMD1,6,122.0,0,INTS8,CSMD1
EFR3A_0___GATA3,6,122.0,0,EFR3A,GATA3
MYC_0___PIK3CA,6,122.0,0,MYC,PIK3CA
ZFPM2_0___KCNU1,6,122.0,0,ZFPM2,KCNU1
ADCK5_0___CDH1,6,122.0,0,ADCK5,CDH1
ZFPM2_0___RYR2,6,122.0,0,ZFPM2,RYR2
TTN_0___KCNU1,6,122.0,0,TTN,KCNU1
RYR2_0___OBSCN,6,122.0,0,RYR2,OBSCN
TTN_0___PLEC,6,122.0,0,TTN,PLEC
ZFPM2_0___RIMS2,6,122.0,0,ZFPM2,RIMS2
ADCK5_0___TCHH,6,122.0,0,ADCK5,TCHH
OBSCN_0___GATA3,6,122.0,0,OBSCN,GATA3
FLG_0___TTN,6,122.0,0,FLG,TTN
RYR2_0___NOTCH2,6,122.0,0,RYR2,NOTCH2
ZFPM2_0___PLEC,6,122.0,0,ZFPM2,PLEC
TTN_1___TRPS1,6,122.0,1,TTN,TRPS1
ERBB2_0___GATA3,6,122.0,0,ERBB2,GATA3
NOTCH2_0___PIK3CA,6,122.0,0,NOTCH2,PIK3CA
NOTCH2_0___GATA3,6,122.0,0,NOTCH2,GATA3
COL22A1_0___GATA3,6,122.0,0,COL22A1,GATA3
TTN_0___PLEKHA6,6,122.0,0,TTN,PLEKHA6
ERBB2_0___CSMD3,6,122.0,0,ERBB2,CSMD3
OR2T2_0___OXR1,6,122.0,0,OR2T2,OXR1
TTN_0___ORAOV1,6,122.0,0,TTN,ORAOV1
TP53_0___FLG,6,122.0,0,TP53,FLG
TRIM67_0___TCHH,6,122.0,0,TRIM67,TCHH
OR2T2_0___HSF1,6,122.0,0,OR2T2,HSF1
TBC1D31_0___CSMD1,6,122.0,0,TBC1D31,CSMD1
TTN_0___EFR3A,6,122.0,0,TTN,EFR3A
OR2T3_0___OR2T34,6,122.0,0,OR2T3,OR2T34
TTN_0___ANO1,6,122.0,0,TTN,ANO1
ZFPM2_0___OBSCN,6,122.0,0,ZFPM2,OBSCN
ZFPM2_0___COL22A1,6,122.0,0,ZFPM2,COL22A1
ZFPM2_0___OXR1,6,122.0,0,ZFPM2,OXR1
CSMD1_0___OR2T1,6,122.0,0,CSMD1,OR2T1
OR2T2_0___EFR3A,5,241.0,0,OR2T2,EFR3A
OR2T2_0___PLEC,5,241.0,0,OR2T2,PLEC
ERBB2_0___CDH1,5,241.0,0,ERBB2,CDH1
SPTA1_0___GATA3,5,241.0,0,SPTA1,GATA3
TP53_0___TRPS1,5,241.0,0,TP53,TRPS1
TP53_0___RYR2,5,241.0,0,TP53,RYR2
GATA3_0___CDH1,5,241.0,0,GATA3,CDH1
TRIM67_0___ZNF670,5,241.0,0,TRIM67,ZNF670
