,value
target_gene,MPL
threshold_rule,"abs(z) >= 2.807033768343811, equivalent to two-sided Gaussian p <= 0.005"
normal_mean_from_baseline,3.06646460176991
normal_sd_used_from_baseline,0.673992692165813
DEG_positive_common_tumors,226
MPL_cis_SCNA_event_count,15
DEG_positive_after_cis_SCNA_exclusion,223
normal_expression_n,113
normal_expression_mean,3.0664646017699115
normal_expression_sd,0.673992692165813
normal_expression_min,0.7699
normal_expression_q25,2.6572
normal_expression_median,3.1713
normal_expression_q75,3.4899
normal_expression_max,4.5685
tumor_expression_n,779
tumor_expression_mean,1.6780584205481706
tumor_expression_sd,0.9089718412338977
tumor_expression_min,0.0
tumor_expression_q25,1.0788
tumor_expression_median,1.688
tumor_expression_q75,2.34155
tumor_expression_max,4.47077808095
z_score_n,779
z_score_mean,-2.0599721589862123
z_score_sd,1.3486375324233872
z_score_min,-4.549700074515809
z_score_q25,-2.949089248108513
z_score_median,-2.0452218811755096
z_score_q75,-1.0755526138428362
z_score_max,2.083573747168472
