SGA,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,alpha_total
PIK3CA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
CSMD1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
TP53,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
GATA3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,19
TTN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,18
CDH1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,17
CSMD3,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,17
ERBB2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,17
NOTCH2,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,15
MYEOV,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,15
OXR1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,1,14
TRPS1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,14
RYR2,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,0,14
OBSCN,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,14
DNAH14,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,14
USH2A,1,1,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,14
TARBP1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,14
HMCN1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,13
SPTA1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,13
FLG,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,0,13
TG,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,12
CNBD1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,12
COL22A1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,12
PVT1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,12
ERLIN2,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,12
OR2T2,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,12
PLEKHA6,0,0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,12
RIMS2,1,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,12
BAI1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,12
KCNU1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,12
BAG4,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,12
AHCTF1,1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,12
ZFPM2,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,12
OR2T3,0,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,11
ORAOV1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,11
MYC,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,11
DENND3,1,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1,0,1,0,1,11
PPFIA1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1,11
PKHD1L1,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,11
OR2T1,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,11
GPR137B,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,11
