Tree,unique_gene_count,genes
1,59,ADCY8|AHCTF1|ARC|BAG4|BAI1|CASC7|CCDC166|CDH1|CNBD1|CNST|COL22A1|CPSF1|CSMD1|CSMD3|CYP11B1|DENND3|DNAH14|EIF3H|ERBB2|ERLIN2|ESRP1|FAM135B|FAM49B|FER1L6|FLG|FMN2|GATA3|GDF6|LINC00536|LRP12|MFSD3|OBSCN|OR14A16|OR2AK2|OR2G6|OR2T34|PDE4DIP|PIK3CA|PKHD1L1|PVT1|RAD54B|RECQL4|RIMS2|RN7SKP153|RYR2|SCCPDH|SCRIB|SLC26A7|SLC39A4|SLC52A2|TARS2|TCHH|TMEM67|TRPS1|TTN|USH2A|VPS13B|WISP1|ZFPM2
2,60,AHCTF1|BAG4|CDH1|CNBD1|COL14A1|COL22A1|COLEC10|CSMD1|EPPK1|ERBB2|ERLIN2|ESRP1|FER1L6|FLG|GATA3|GOT1L1|GPR137B|GRHL2|HHLA1|HSF1|INTS8|KCNQ3|KIAA1429|LINC00536|MAL2|MIR548AA1|MYC|NDUFB9|NLRP3|NOTCH2|OR2C3|OR2G2|OR2M7|OR2T2|OR2T3|OR2T34|ORAOV1|OXR1|PCNXL2|PHF20L1|PIK3CA|PKHD1L1|PPFIA1|PVT1|RGS7|RN7SL350P|RNF139|RYR2|SHANK2|SPTA1|TAF2|TARBP1|TG|TMEM71|TP53|TRIM67|TTN|USH2A|ZFPM2|ZNF670
3,61,ASAP1|ASH1L|ATAD2|BAALC|BAG4|BAI1|CEP170|CNBD1|COL22A1|CSMD1|CSMD3|DENND3|DNAH14|ENPP2|ERBB2|FAM135B|FLG|FLG2|GATA3|GRHL2|HHLA1|HMCN1|INTS8|KCNK9|KCNU1|KHDRBS3|LINC00536|MFSD3|MIR1208|MIR2053|MYC|MYEOV|NDUFB9|NOTCH2|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLD5|PLEC|PLEKHA6|PPFIA1|PTDSS1|RAB11FIP1|RAD21|RGS22|RN7SL350P|RYR2|SHANK2|TARBP1|TARS2|TBC1D31|TP53|TRPS1|TTN|USH2A|VPS13B|ZFPM2|ZHX1|ZNF250|ZP4
4,68,ADSS|AHCTF1|ARID4B|ARNT|BAALC|BAG4|C8orf86|CA14|CCDC166|CDH1|CEP170|CNBD1|COL22A1|CSMD1|CSMD3|CYP11B1|DNAH14|ECM1|EFR3A|ERBB2|ESRP1|FMN2|GATA3|GPR137B|HHLA1|HMCN1|INTS8|KCNU1|LYST|MYC|MYEOV|NDUFB9|NOTCH2|NOV|NSMCE2|OBSCN|OR14K1|OR2AK2|OR2L3|OR2T1|OR2T2|OR2T3|OR2T34|OXR1|PIK3CA|PKHD1L1|PLEC|PLEKHA6|PPFIA1|PROSC|RAD54B|RN7SL350P|RYR2|SNX31|SPTA1|TACC1|TAF2|TARBP1|TFB2M|TG|TP53|TRIM67|TRPS1|TTN|UBR5|ZNF250|ZNF670|ZP4
5,67,ADCY8|AHCTF1|ANO1|ASH1L|ASH2L|ATAD2|BAG4|CA14|CCDC166|CDC42BPA|CDH1|CNBD1|CPSF1|CSMD1|CSMD3|CTTN|CYP11B1|DCAF13|DDHD2|DENND3|DNAH14|EFR3A|ENPP2|ERBB2|ERLIN2|FAM135B|FER1L6|FLG|GATA3|GRHL2|HMCN1|HSF1|INTS8|KIAA1429|LRP12|MAPK15|MIR30D|MTSS1|MYC|MYEOV|NOTCH2|OR2AK2|OR2C3|OR2L3|OR2T2|OR2T3|OR2T34|OXR1|PHF20L1|PIK3CA|PLD5|PLEC|PPFIA1|RAD54B|RECQL4|RIMS2|RUNX1T1|RYR2|SLC45A4|SLC52A2|SPTA1|TACC1|TCHH|TP53|TRPS1|TTN|VPS13B
6,60,ADSS|ANO1|ANXA13|ARID4B|ASH2L|BAI1|BCL9|CDH17|CNBD1|CNST|COL14A1|CPQ|CSMD3|DENND3|DNAH14|EPPK1|ERLIN2|FAM135B|FLG|GATA3|GPR137B|GRHL2|HHLA1|HSF1|KCNQ3|KCNU1|KIAA1429|MIR1208|MYEOV|NOTCH2|OBSCN|OR2C3|OR2G6|OR2L3|OR2T1|OR2T2|OR2T3|OR2T33|OXR1|PIK3CA|PLEKHA6|PPFIA1|PTK2|PVT1|RAB11FIP1|RUNX1T1|RYR2|SDCCAG8|SPTA1|TARBP1|TG|TP53|TRIM58|TRPS1|TTN|UBR5|USH2A|ZFAT|ZNF670|ZP4
7,74,ADAMTSL4|ADCK5|BAALC|BAG4|BAI1|CA14|CDH1|CNBD1|COL22A1|CPSF1|CSMD1|CSMD3|CYP11B1|DENND3|DNAH14|EFR3A|EIF3H|ENPP2|EPPK1|ERBB2|ERLIN2|FER1L6|FLG|FMN2|GATA3|GPR124|GPR137B|HMCN1|HSF1|KCNU1|LINC00536|LRP12|MIR30D|MYEOV|NDUFB9|OBSCN|OR2C3|OR2G6|OR2T34|OSR2|PCAT1|PCNXL2|PDE4DIP|PIK3CA|PKHD1L1|PLD5|PLEC|PPFIA1|PVT1|RAD54B|RIMS2|RN7SKP226|RN7SL350P|RNA5SP275|RNF139|RYR2|SHANK2|SIPA1L2|SPAG1|SPTA1|TACC1|TARBP1|TCHH|TG|TMEM71|TP53|TP53INP1|TRPS1|TTN|USH2A|WISP1|ZFPM2|ZNF496|ZNF670
8,68,ACTN2|ADCK5|AGO2|ANGPT1|ANO1|ARHGAP39|ARID4B|BAG4|BAI1|CDC42BPA|CDH1|CSMD1|DCAF13|DENND3|EIF3H|ENPP2|ENY2|EPPK1|ERBB2|FER1L6|FMN2|GATA3|GLI4|HHLA1|HSF1|INTS8|IRF2BP2|KCNK9|KCNU1|KHDRBS3|KIF26B|LINC00536|LRRC6|OBSCN|OR14K1|OR2L3|OR2T2|OR2T27|OR2T3|ORAOV1|OXR1|PCNXL2|PIK3CA|PLEC|PLEKHA6|PLEKHF2|RAD54B|RGS7|RUNX1T1|SPTA1|TARBP1|TCHH|TG|TMEM74|TMEM75|TP53|TRAPPC9|TRHR|TRIM67|TRIQK|TRPS1|TTN|UBR5|VPS13B|ZFPM2|ZNF496|ZNF703|ZP4
9,74,ADCK5|ADCY8|ANO1|ARHGAP39|ARID4B|ARNT|BAG4|BCL9|CDH1|CNBD1|COL14A1|COL22A1|CSMD1|CSMD3|CYP11B1|DPY19L4|EFR3A|ENPP2|ERBB2|ERLIN2|FER1L6|FLG|FLG2|FMN2|GATA3|GDF6|GLI4|GRHL2|HHLA1|HRSP12|KCNQ3|LRP12|MYC|MYEOV|NID1|NOTCH2|NOV|OBSCN|OR14K1|OR2T1|OR2T3|OR2T33|OR2T34|ORAOV1|OXR1|PIK3CA|PKHD1L1|PLD5|PLEKHA6|PLEKHF2|PPFIA1|PVT1|RECQL4|RN7SL350P|RNF19A|RYR2|SHANK2|SLC52A2|TACC1|TARBP1|TBC1D31|TCHH|TG|TMEM74|TMEM75|TP53|TRAPPC9|TRPS1|TSPYL5|TTN|USH2A|VPS13B|ZFPM2|ZNF670
10,49,ADCK5|ADCY8|AHCTF1|ATP6V1C1|BAALC|BAG4|BAI1|CCND1|COL22A1|CSMD1|CYP11B1|DENND3|DNAH14|FAM135B|FAM49B|GATA3|GLI4|INTS8|IRF2BP2|KCNU1|LYST|MIR2053|MIR30D|MRPL13|MTSS1|MYEOV|NDUFB9|OBSCN|OR2L3|OR2T1|OXR1|PIK3CA|PLEKHA6|PVT1|RN7SL350P|RNA5SP276|RNF19A|SLC26A7|TACC1|TBC1D31|TG|TP53|TRIQK|TRPS1|TTN|USH2A|ZFAT|ZFPM2|snoU13|ENSG00000238901.1
