Gene_pair,tree_1,tree_2,tree_3,tree_4,tree_5,tree_6,tree_7,tree_8,tree_9,tree_10,tree_11,tree_12,tree_13,tree_14,tree_15,tree_16,tree_17,tree_18,tree_19,tree_20,beta_total
MYEOV_0___TP53,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,12
CSMD1_0___TP53,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,11
TTN_0___TP53,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,11
TP53_0___GATA3,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,11
TP53_0___PIK3CA,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,11
MYEOV_0___CSMD3,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,11
TP53_0___OBSCN,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,10
TTN_0___ERBB2,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0,0,10
TTN_0___CDH1,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,10
TTN_0___PIK3CA,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,10
MYEOV_0___GATA3,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,10
CSMD1_0___PIK3CA,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,10
MYEOV_1___TP53,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,10
CDH1_0___TP53,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,10
CSMD1_0___GATA3,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,10
MYEOV_0___CSMD1,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,10
MYEOV_0___ERBB2,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,10
MYEOV_0___PIK3CA,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,10
GATA3_0___PIK3CA,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,9
MYEOV_0___TRPS1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,9
TTN_0___CSMD3,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,9
TTN_0___CSMD1,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,9
ZFPM2_0___GATA3,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,9
TP53_0___CDH1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,9
ZFPM2_0___CSMD1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,9
ZFPM2_0___PIK3CA,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,9
TTN_0___OXR1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,9
MYEOV_0___TTN,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,9
MYEOV_0___OXR1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,8
TRIM67_0___PIK3CA,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,8
MYEOV_1___OBSCN,0,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,8
CSMD1_0___TARBP1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,8
MYEOV_0___CDH1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,8
CSMD1_0___OBSCN,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,8
CSMD1_0___CSMD3,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,8
CDH1_0___GATA3,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,8
CDH1_0___PIK3CA,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1,8
CSMD1_0___ERBB2,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,8
ERBB2_0___PIK3CA,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,8
CSMD1_0___CDH1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,8
MYEOV_0___EFR3A,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,8
PLEKHA6_0___PIK3CA,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,8
ZFPM2_0___TP53,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,8
ZFPM2_0___ERBB2,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,8
ZFPM2_0___CSMD3,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,8
ZFPM2_0___CDH1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,8
ZFPM2_0___BAI1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,8
GATA3_0___TP53,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,7
ZFPM2_0___USH2A,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,7
HMCN1_0___TP53,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,7
ZFPM2_0___NDUFB9,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,7
ZFPM2_0___TTN,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,7
MYEOV_0___DENND3,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,7
ZFPM2_0___TRPS1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,7
TP53_0___TTN,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,7
TP53_0___NOTCH2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,7
MYEOV_1___GATA3,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,7
MYEOV_1___TARBP1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,7
CSMD1_0___NOTCH2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,7
SPTA1_0___PIK3CA,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,7
