seed,rank,SGA
101,1,GATA3
101,2,NOTCH2
101,3,TP53
101,4,TTN
101,5,OR2T2
101,6,PIK3CA
101,7,MYEOV
101,8,CDH1
101,9,ERBB2
101,10,AHCTF1
101,11,TRPS1
101,12,CSMD1
101,13,TCHH
101,14,USH2A
101,15,CSMD3
101,16,SPTA1
101,17,RYR2
101,18,DNAH14
101,19,OBSCN
101,20,HMCN1
202,1,PIK3CA
202,2,TP53
202,3,TTN
202,4,CDH1
202,5,GATA3
202,6,MYEOV
202,7,CSMD1
202,8,ERBB2
202,9,NOTCH2
202,10,CSMD3
202,11,HMCN1
202,12,OR2T2
202,13,TCHH
202,14,RAD54B
202,15,ZP4
202,16,SPTA1
202,17,FLG
202,18,RYR2
202,19,TRPS1
202,20,ERLIN2
303,1,TTN
303,2,TP53
303,3,CDH1
303,4,GATA3
303,5,PIK3CA
303,6,FLG
303,7,MYEOV
303,8,OR2T2
303,9,NOTCH2
303,10,RIMS2
303,11,OBSCN
303,12,SPTA1
303,13,ZNF670
303,14,ERBB2
303,15,HMCN1
303,16,FER1L6
303,17,PVT1
303,18,COL22A1
303,19,NDUFB9
303,20,KCNU1
