,Marginal,Node,Level,Branch,OR_Details,Additional_Stat,Tree
0,-470.3977459776469,PIK3CA,1,2,"['PIK3CA', 107.0, 196.0, 119.0, 357.0, 1.6377551020408163]",-464.8760683822324,1
1,-270.90231332418784,CEP170,2,0,"[np.str_('CEP170'), np.float64(9.0), np.float64(54.0), np.float64(110.0), np.float64(303.0), np.float64(0.45909090909090905)]",-269.668158123654,1
2,-240.90036690730398,CDC42BPA,3,0,"[np.str_('CDC42BPA'), np.float64(4.0), np.float64(1.0), np.float64(106.0), np.float64(302.0), np.float64(11.39622641509434)]",-238.95877124392607,1
3,-235.50545780601473,0,3,0,"[np.str_('CDC42BPA'), np.float64(0.0), np.float64(0.0), np.float64(106.0), np.float64(302.0), np.float64(nan)]",-235.85021869200833,1
4,-3.453313437911343,0,3,1,"[np.str_('CDC42BPA'), np.float64(4.0), np.float64(1.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-5.179405895682644,1
5,-28.76779121635004,TTN,3,1,"[np.str_('TTN'), np.float64(0.0), np.float64(15.0), np.float64(9.0), np.float64(39.0), np.float64(0.0)]",-28.57579745685585,1
6,-24.65248038969877,SLC26A7,4,0,"[np.str_('SLC26A7'), np.float64(3.0), np.float64(2.0), np.float64(6.0), np.float64(37.0), np.float64(9.25)]",-24.125293823227352,1
7,-20.20197677209505,0,4,0,"[np.str_('SLC26A7'), np.float64(0.0), np.float64(0.0), np.float64(6.0), np.float64(37.0), np.float64(nan)]",-21.368453664324733,1
8,-3.9233170511322997,0,4,1,"[np.str_('SLC26A7'), np.float64(3.0), np.float64(2.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-5.9370918037491816,1
9,-3.923317067157079,0,3,1,"[np.str_('TTN'), np.float64(0.0), np.float64(15.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-5.64940952492838,1
10,-193.97375505804456,SPTA1,2,1,"[np.str_('SPTA1'), np.float64(31.0), np.float64(21.0), np.float64(76.0), np.float64(175.0), np.float64(3.399122807017544)]",-184.95411588457765,1
11,-150.24192384220615,TP53,3,0,"[np.str_('TP53'), np.float64(35.0), np.float64(34.0), np.float64(41.0), np.float64(141.0), np.float64(3.5401721664275465)]",-139.76697779485778,1
12,-98.02719417411605,AHCTF1,4,0,"[np.str_('AHCTF1'), np.float64(7.0), np.float64(5.0), np.float64(34.0), np.float64(136.0), np.float64(5.6)]",-96.1920727732905,1
13,-87.48126397937615,NOTCH2,5,0,"[np.str_('NOTCH2'), np.float64(4.0), np.float64(3.0), np.float64(30.0), np.float64(133.0), np.float64(5.911111111111111)]",-86.21380934445678,1
14,-80.10569013280231,RAD54B,6,0,"[np.str_('RAD54B'), np.float64(8.0), np.float64(11.0), np.float64(22.0), np.float64(122.0), np.float64(4.033057851239669)]",-77.06700759054874,1
15,-63.45229661484821,TG,7,0,"[np.str_('TG'), np.float64(2.0), np.float64(0.0), np.float64(20.0), np.float64(122.0), np.float64(inf)]",-63.16154721463714,1
16,-59.76147823613444,0,7,0,"[np.str_('TG'), np.float64(0.0), np.float64(0.0), np.float64(20.0), np.float64(122.0), np.float64(nan)]",-61.273058086901,1
17,-3.4000689785027043,0,7,1,"[np.str_('TG'), np.float64(2.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-6.2768897811913025,1
18,-13.614710975700536,0,6,1,"[np.str_('RAD54B'), np.float64(8.0), np.float64(11.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-14.306729737076246,1
19,-6.108119211654472,0,5,1,"[np.str_('NOTCH2'), np.float64(4.0), np.float64(3.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-7.4932851696149125,1
20,-8.710808793914346,0,4,1,"[np.str_('AHCTF1'), np.float64(7.0), np.float64(5.0), np.float64(0.0), np.float64(0.0), np.float64(nan)]",-9.808292814657072,1
21,-41.73978362074174,ERBB2,4,1,"[np.str_('ERBB2'), np.float64(0.0), np.float64(14.0), np.float64(35.0), np.float64(20.0), np.float64(0.0)]",-40.07336543384022,1
22,-35.92690483139371,BAI1,5,0,"[np.str_('BAI1'), np.float64(11.0), np.float64(0.0), np.float64(24.0), np.float64(20.0), np.float64(inf)]",-35.36549020578141,1
23,-31.15449097901282,POU5F1B,6,0,"[np.str_('POU5F1B'), np.float64(0.0), np.float64(5.0), np.float64(24.0), np.float64(15.0), np.float64(0.0)]",-29.858101837770548,1
24,-26.0525677351349,RYR2,7,0,"[np.str_('RYR2'), np.float64(0.0), np.float64(5.0), np.float64(24.0), np.float64(10.0), np.float64(0.0)]",-24.732353704524225,1
25,-20.639137545461576,LETM2,8,0,"[np.str_('LETM2'), np.float64(0.0), np.float64(4.0), np.float64(24.0), np.float64(6.0), np.float64(0.0)]",-19.48726403591835,1
26,-15.288687377222654,0,8,0,"[np.str_('LETM2'), np.float64(0.0), np.float64(0.0), np.float64(24.0), np.float64(6.0), np.float64(nan)]",-16.912745195391103,1
