Gene_pair,Number of appearances as partners in the same branch,Rank of number of appearances as partners in the same branch,Branch,Start_gene,Finish_gene
MYEOV_0___TTN,23,1.0,0,MYEOV,TTN
MYEOV_1___PPFIA1,19,2.0,1,MYEOV,PPFIA1
TTN_0___CSMD1,15,4.0,0,TTN,CSMD1
MYEOV_0___CSMD1,15,4.0,0,MYEOV,CSMD1
MYEOV_0___PPFIA1,15,4.0,0,MYEOV,PPFIA1
MYEOV_1___SPTA1,15,4.0,1,MYEOV,SPTA1
TTN_0___CDC42BPA,13,8.0,0,TTN,CDC42BPA
MYEOV_1___TP53,13,8.0,1,MYEOV,TP53
PPFIA1_0___TTN,12,10.0,0,PPFIA1,TTN
TTN_0___MYEOV,12,10.0,0,TTN,MYEOV
CDC42BPA_0___OR2T2,12,10.0,0,CDC42BPA,OR2T2
MYEOV_0___AHCTF1,11,14.0,0,MYEOV,AHCTF1
MYEOV_0___DNAH14,11,14.0,0,MYEOV,DNAH14
MYEOV_0___CDC42BPA,11,14.0,0,MYEOV,CDC42BPA
ZFPM2_1___ABRA,11,14.0,1,ZFPM2,ABRA
MYEOV_1___GATA3,11,14.0,1,MYEOV,GATA3
GATA3_0___PIK3CA,10,20.0,0,GATA3,PIK3CA
MYEOV_1___VPS13B,10,20.0,1,MYEOV,VPS13B
MYEOV_1___DNAH14,10,20.0,1,MYEOV,DNAH14
CDC42BPA_0___TTN,10,20.0,0,CDC42BPA,TTN
TTN_0___ERBB2,10,20.0,0,TTN,ERBB2
CDC42BPA_0___MYEOV,10,20.0,0,CDC42BPA,MYEOV
ZFPM2_0___TRAPPC9,9,26.0,0,ZFPM2,TRAPPC9
TTN_0___GATA3,9,26.0,0,TTN,GATA3
MYEOV_0___USH2A,9,26.0,0,MYEOV,USH2A
CDC42BPA_0___CSMD1,9,26.0,0,CDC42BPA,CSMD1
MYEOV_0___PIK3CA,9,26.0,0,MYEOV,PIK3CA
CDC42BPA_1___RYR2,9,26.0,1,CDC42BPA,RYR2
CDC42BPA_0___TARBP1,8,35.0,0,CDC42BPA,TARBP1
MYEOV_0___CNBD1,8,35.0,0,MYEOV,CNBD1
CDC42BPA_0___ZFPM2,8,35.0,0,CDC42BPA,ZFPM2
GATA3_1___TP53,8,35.0,1,GATA3,TP53
MYEOV_1___COL22A1,8,35.0,1,MYEOV,COL22A1
MYEOV_0___GATA3,8,35.0,0,MYEOV,GATA3
TTN_0___FMN2,8,35.0,0,TTN,FMN2
TTN_0___OR2T2,8,35.0,0,TTN,OR2T2
CDC42BPA_1___TP53,8,35.0,1,CDC42BPA,TP53
CDC42BPA_1___NOTCH2,8,35.0,1,CDC42BPA,NOTCH2
PIK3CA_1___AHCTF1,8,35.0,1,PIK3CA,AHCTF1
MYEOV_1___CDH1,8,35.0,1,MYEOV,CDH1
ZFPM2_1___GATA3,8,35.0,1,ZFPM2,GATA3
TTN_1___CSMD1,7,54.0,1,TTN,CSMD1
TTN_0___TP53,7,54.0,0,TTN,TP53
MYEOV_1___NOTCH2,7,54.0,1,MYEOV,NOTCH2
MYEOV_0___TP53,7,54.0,0,MYEOV,TP53
TTN_0___DNAH14,7,54.0,0,TTN,DNAH14
TRIM67_0___OR2T2,7,54.0,0,TRIM67,OR2T2
MYEOV_1___FGFR1,7,54.0,1,MYEOV,FGFR1
TTN_0___NOTCH2,7,54.0,0,TTN,NOTCH2
TTN_1___USH2A,7,54.0,1,TTN,USH2A
GATA3_0___CSMD1,7,54.0,0,GATA3,CSMD1
CDC42BPA_0___GPR137B,7,54.0,0,CDC42BPA,GPR137B
CDC42BPA_1___PIK3CA,7,54.0,1,CDC42BPA,PIK3CA
CNBD1_1___PLEC,7,54.0,1,CNBD1,PLEC
SPTA1_0___TP53,7,54.0,0,SPTA1,TP53
MYEOV_0___ORAOV1,7,54.0,0,MYEOV,ORAOV1
MYEOV_0___ZFPM2,7,54.0,0,MYEOV,ZFPM2
GATA3_0___MYEOV,7,54.0,0,GATA3,MYEOV
ZFPM2_0___CSMD1,7,54.0,0,ZFPM2,CSMD1
PLEKHA6_0___TTN,7,54.0,0,PLEKHA6,TTN
MYEOV_0___PLEKHA6,7,54.0,0,MYEOV,PLEKHA6
CDC42BPA_0___TMEM74,7,54.0,0,CDC42BPA,TMEM74
