SGA,Number of appearances as the best estimators,Rank of number of appearances as the best estimators
MYEOV,98,1.0
TTN,83,2.0
GATA3,76,3.0
TP53,73,4.0
CSMD1,61,5.0
PIK3CA,59,6.0
CDC42BPA,57,7.0
ZFPM2,56,8.0
NOTCH2,50,9.0
PLEKHA6,48,10.0
PPFIA1,47,11.0
DNAH14,43,12.0
TRIM67,42,13.0
USH2A,41,14.0
ERBB2,38,16.0
CDH1,38,16.0
SPTA1,36,17.0
AHCTF1,34,18.0
RYR2,34,18.0
OR2T2,32,20.0
KCNU1,31,21.0
FLG,30,22.0
ORAOV1,29,23.0
COL22A1,28,24.0
HMCN1,28,24.0
FMN2,25,26.0
OBSCN,25,26.0
CNBD1,24,28.0
RIMS2,22,30.0
SHANK2,22,30.0
PDE4DIP,21,33.0
RN7SL350P,21,33.0
TARBP1,21,33.0
TRAPPC9,21,33.0
ANO1,21,33.0
PKHD1L1,20,38.0
ABRA,20,38.0
ASH1L,20,38.0
GPR137B,20,38.0
TG,19,40.0
VPS13B,19,40.0
TFB2M,18,42.0
ADSS,18,42.0
GRHL2,17,44.0
FGFR1,16,48.0
LYST,16,48.0
TCHH,16,48.0
SLC26A7,16,48.0
RAD54B,16,48.0
OXR1,16,48.0
DPY19L4,16,48.0
LINC00536,15,52.0
MYC,14,56.0
OR2T1,14,56.0
PLEC,14,56.0
IRF2BP2,14,56.0
BAG4,14,56.0
ADCY8,14,56.0
OR2T33,13,60.0
RUNX1T1,13,60.0
OR2L3,13,60.0
CPQ,12,66.0
CYP11B2,12,66.0
TMEM74,12,66.0
AKT3,12,66.0
SETDB1,12,66.0
FLG2,12,66.0
RGS7,12,66.0
CA14,12,66.0
PVT1,12,66.0
ATP6V1C1,11,73.0
FER1L6,11,73.0
BCL9,11,73.0
TACC1,11,73.0
BAI1,11,73.0
CDH17,10,80.0
CEP170,10,80.0
INTS8,10,80.0
MAPK15,10,80.0
ZP4,10,80.0
DENND3,10,80.0
POU5F1B,10,80.0
ERLIN2,10,80.0
CSMD3,9,88.0
EXO1,9,88.0
ASAP1,9,88.0
TARS2,9,88.0
EIF3H,9,88.0
BAALC,9,88.0
PLD5,9,88.0
RAB11FIP1,9,88.0
NECAB1,8,96.0
ARID4B,8,96.0
EPPK1,8,96.0
KCNQ3,8,96.0
OR13G1,8,96.0
CYP11B1,8,96.0
FAM135B,8,96.0
UBR5,8,96.0
ANGPT1,8,96.0
OR14K1,7,106.0
GDF6,7,106.0
MATN2,7,106.0
FGF4,7,106.0
CTTN,7,106.0
ZNF496,7,106.0
KIF26B,7,106.0
TRPS1,7,106.0
KCNS2,7,106.0
MIR599,7,106.0
SDCCAG8,7,106.0
MIR1208,6,121.0
OC90,6,121.0
ATAD2,6,121.0
SYBU,6,121.0
MIR2053,6,121.0
OR2M5,6,121.0
ZNF251,6,121.0
PDP1,6,121.0
LRP12,6,121.0
DCAF13,6,121.0
CASC8,6,121.0
ACTN2,6,121.0
ADAMTSL4,6,121.0
KHDRBS3,6,121.0
ESRP1,6,121.0
TRIB1,6,121.0
OR2AK2,6,121.0
GOT1L1,6,121.0
PCNXL2,6,121.0
RGS22,5,142.0
NLRP3,5,142.0
OPLAH,5,142.0
OR2T3,5,142.0
OR2L8,5,142.0
OR2L2,5,142.0
OR2C3,5,142.0
SDC2,5,142.0
NID1,5,142.0
NDRG1,5,142.0
SLC30A8,5,142.0
TSPYL5,5,142.0
PROSC,5,142.0
KIAA1429,5,142.0
WHSC1L1,5,142.0
LSM1,5,142.0
ZFAT,5,142.0
ENPP2,5,142.0
COL14A1,5,142.0
EFR3A,5,142.0
TRIQK,5,142.0
DSCC1,5,142.0
FAM49B,4,158.0
MTSS1,4,158.0
TAF2,4,158.0
OR2T34,4,158.0
GSDMC,4,158.0
HHLA1,4,158.0
OR2T27,4,158.0
PTK2,4,158.0
ARC,4,158.0
snoU13|ENSG00000238372.1,4,158.0
TP53INP1,4,158.0
ZNF695,4,158.0
EMC2,3,176.0
GPR124,3,176.0
PCAT1,3,176.0
GEM,3,176.0
CPSF1,3,176.0
POP1,3,176.0
OR2T5,3,176.0
PHF20L1,3,176.0
DDHD2,3,176.0
ZNF670,3,176.0
NCALD,3,176.0
LINC00861,3,176.0
AZIN1,3,176.0
SIPA1L2,3,176.0
NSMCE2,3,176.0
MIR548A3,3,176.0
OR14A16,3,176.0
HORMAD1,3,176.0
LRRC6,3,176.0
RNF19A,3,176.0
CCND1,3,176.0
TMEM71,3,176.0
TSNARE1,2,204.0
TBC1D31,2,204.0
SLC39A4,2,204.0
RAD21,2,204.0
SCCPDH,2,204.0
SCRIB,2,204.0
ZHX1,2,204.0
RN7SKP226,2,204.0
SMYD3,2,204.0
snoU13|ENSG00000238901.1,2,204.0
HEATR1,2,204.0
MAL2,2,204.0
COA6,2,204.0
CCAT1,2,204.0
C8orf86,2,204.0
FAM91A1,2,204.0
NDUFB9,2,204.0
BRF2,2,204.0
NRBP2,2,204.0
ASH2L,2,204.0
MIR3150B,2,204.0
MIR30D,2,204.0
OR2G6,2,204.0
ARHGAP39,2,204.0
FGF19,2,204.0
ANXA13,2,204.0
OR2T4,2,204.0
PLEKHF2,2,204.0
KMO,2,204.0
LETM2,2,204.0
PPAPDC1B,2,204.0
ADRB3,2,204.0
OR2M2,2,204.0
