sample,normal_expression
TCGA-BH-A0DD-11,4.5178
TCGA-AC-A23H-11,2.8927
TCGA-BH-A1F8-11,3.4793
TCGA-BH-A18N-11,3.2468
TCGA-BH-A1FG-11,1.5114
TCGA-AC-A2FM-11,1.5337
TCGA-BH-A1EU-11,3.7098
TCGA-BH-A0HK-11,2.4279
TCGA-BH-A1F0-11,2.4914
TCGA-BH-A204-11,3.4899
TCGA-A7-A0CH-11,2.3521
TCGA-A7-A13G-11,3.4262
TCGA-BH-A18S-11,2.7622
TCGA-BH-A0BV-11,3.3385
TCGA-BH-A0DO-11,3.6648
TCGA-BH-A1EN-11,3.108
TCGA-BH-A1FC-11,3.4618
TCGA-BH-A203-11,3.7093
TCGA-BH-A209-11,3.0193
TCGA-E9-A1ND-11,3.309
TCGA-BH-A1FR-11,3.11
TCGA-BH-A18U-11,3.8684
TCGA-BH-A0BW-11,2.6014
TCGA-BH-A0H9-11,1.8897
TCGA-BH-A1EO-11,1.8904
TCGA-BH-A1FD-11,3.3613
TCGA-E9-A1RF-11,2.7574
TCGA-E9-A1RD-11,3.2064
TCGA-BH-A1FJ-11,2.7981
TCGA-E2-A15M-11,2.5758
TCGA-AC-A2FB-11,3.1415
TCGA-BH-A0H7-11,2.533
TCGA-BH-A0B8-11,3.1865
TCGA-BH-A0DL-11,2.2744
TCGA-E9-A1R7-11,3.6121
TCGA-A7-A0DC-11,3.8781
TCGA-BH-A0DH-11,2.5697
TCGA-E2-A1BC-11,2.45
TCGA-E9-A1RH-11,2.2032
TCGA-GI-A2C8-11,2.1311
TCGA-A7-A13E-11,3.9121
TCGA-BH-A0AY-11,3.0303
TCGA-BH-A0C0-11,2.7789
TCGA-E9-A1NG-11,3.1821
TCGA-BH-A0BC-11,3.41
TCGA-BH-A0DP-11,3.842
TCGA-BH-A18P-11,3.451
TCGA-BH-A1FB-11,3.3946
TCGA-E9-A1NF-11,3.9554
TCGA-BH-A0BZ-11,3.0422
TCGA-E2-A1LH-11,3.2224
TCGA-E2-A15K-11,1.7166
TCGA-E9-A1N9-11,3.6229
TCGA-E9-A1NA-11,3.1802
TCGA-GI-A2C9-11,2.0907
TCGA-A7-A0CE-11,2.1921
TCGA-A7-A0DB-11,3.172
TCGA-BH-A0BT-11,3.8649
TCGA-BH-A18J-11,2.5033
TCGA-BH-A18Q-11,3.681
TCGA-E9-A1RC-11,4.4229
TCGA-BH-A0BS-11,3.308
TCGA-BH-A1ET-11,4.12
TCGA-BH-A0BM-11,3.6227
TCGA-BH-A0DV-11,3.022
TCGA-BH-A0B3-11,3.3209
TCGA-BH-A1F2-11,3.6856
TCGA-BH-A0E1-11,3.9993
TCGA-E9-A1N6-11,2.6342
TCGA-BH-A0BA-11,0.7699
TCGA-BH-A1F6-11,3.3871
TCGA-E2-A153-11,3.0945
TCGA-BH-A18L-11,2.6783
TCGA-BH-A18R-11,3.3872
TCGA-BH-A0DK-11,2.2022
TCGA-BH-A18V-11,2.2338
TCGA-BH-A208-11,3.3284
TCGA-BH-A0AZ-11,3.1213
TCGA-BH-A0C3-11,3.1798
TCGA-BH-A1FH-11,1.7688
TCGA-BH-A18K-11,2.8181
TCGA-E2-A1LS-11,3.8078
TCGA-BH-A0AU-11,3.9225
TCGA-BH-A0H5-11,3.4044
TCGA-BH-A1EV-11,2.81
TCGA-E2-A1IG-11,2.7871
TCGA-E9-A1N5-11,2.034
TCGA-A7-A13F-11,3.8216
TCGA-BH-A1FM-11,2.6572
TCGA-BH-A1FU-11,3.692
TCGA-E2-A15I-11,4.1454
TCGA-BH-A0DZ-11,2.3855
TCGA-E2-A158-11,3.554
TCGA-E9-A1RI-11,4.5685
TCGA-BH-A0B7-11,3.1323
TCGA-BH-A0DQ-11,2.7384
TCGA-BH-A0BJ-11,3.5011
TCGA-BH-A0DT-11,3.0952
TCGA-E2-A1LB-11,3.0608
TCGA-E9-A1N4-11,3.1713
TCGA-AC-A2FF-11,2.166
TCGA-BH-A0B5-11,3.6093
TCGA-E2-A1L7-11,2.6678
TCGA-E9-A1RB-11,2.7437
TCGA-BH-A0BQ-11,3.354
TCGA-BH-A18M-11,3.4768
TCGA-BH-A0E0-11,3.0272
TCGA-BH-A1EW-11,2.9398
TCGA-A7-A0D9-11,3.6454
TCGA-BH-A1FN-11,2.3029
TCGA-BH-A0HA-11,3.2965
TCGA-BH-A1FE-11,3.2357
TCGA-BH-A0DG-11,2.9162
