Tree,unique_gene_count,genes
1,18,ADAMTSL4|AHCTF1|BAI1|CDC42BPA|CDH1|CEP170|ERBB2|LETM2|NOTCH2|PIK3CA|POU5F1B|RAD54B|RYR2|SLC26A7|SPTA1|TG|TP53|TTN
2,11,ADRB3|CDC42BPA|CEP170|DNAH14|MYEOV|OBSCN|PKHD1L1|RECQL4|RN7SL685P|SLC26A7|SPTA1
3,12,CSMD1|EPPK1|MRPL13|MYEOV|ORAOV1|RUNX1T1|SPTA1|TBC1D31|TFB2M|TTN|USH2A|ZFPM2
4,8,FLG|FMN2|MYEOV|NID1|OBSCN|PPFIA1|RAD54B|TP53
5,1,A0
6,11,DCAF13|EIF3H|FLG2|GATA3|GPR137B|HEATR1|KCNS2|OR2T2|RGS7|TRAPPC9|TRIM67
7,14,AKT3|CDC42BPA|COL22A1|CSMD1|DNAH14|FAM135B|LYST|MYEOV|PIK3CA|PPFIA1|SPTA1|TARBP1|TTN|ZHX1
8,17,ADCY8|CYP11B2|FGFR1|FMN2|HMCN1|KCNU1|MYEOV|OBSCN|OXR1|PLD5|PPFIA1|PVT1|RUNX1T1|SETDB1|TP53|TTN|ZNF496
9,12,ANXA13|BAALC|CSMD1|MYEOV|PPFIA1|RAD54B|STAR|TRIB1|TRIQK|ZFPM2|snoU13|ENSG00000238372.1|snoU13|ENSG00000238901.1
10,12,CDH17|DENND3|DNAH14|GATA3|IRF2BP2|KCNQ3|LYST|PLEKHA6|TAF2|TFB2M|TRIM67|USH2A
11,6,ANGPT1|DNAH14|MIR548A3|OR2L8|SDC2|SNORA31|ENSG00000252852.1
12,13,ASAP1|CDC42BPA|EXO1|FER1L6|LINC00536|OR2G2|POU5F1B|PVT1|RYR2|TFB2M|TRAPPC9|USH2A|snoU13|ENSG00000238687.1
13,14,DNAH14|EPPK1|ERBB2|FLG|GATA3|GRHL2|HMCN1|MYC|RIMS2|SHANK2|SPTA1|TARS2|TRIB1|TTN
14,20,AKT3|ANGPT1|ASH1L|CDC42BPA|CPQ|EFR3A|ESRP1|LINC00536|MYC|MYEOV|NDRG1|OR13G1|OR2T1|OR2T2|OR2T27|PIK3CA|RYR2|TP53|ZFPM2|ZNF251
