Tree,unique_pair_count,pairs
1,59,AHCTF1_0___NOTCH2|AHCTF1_0___RAD54B|AHCTF1_0___TG|BAI1_0___LETM2|BAI1_0___POU5F1B|BAI1_0___RYR2|CDH1_0___ADAMTSL4|CEP170_0___CDC42BPA|CEP170_1___SLC26A7|CEP170_1___TTN|ERBB2_0___BAI1|ERBB2_0___LETM2|ERBB2_0___POU5F1B|ERBB2_0___RYR2|NOTCH2_0___RAD54B|NOTCH2_0___TG|PIK3CA_0___CDC42BPA|PIK3CA_0___CEP170|PIK3CA_0___SLC26A7|PIK3CA_0___TTN|PIK3CA_1___ADAMTSL4|PIK3CA_1___AHCTF1|PIK3CA_1___BAI1|PIK3CA_1___CDH1|PIK3CA_1___ERBB2|PIK3CA_1___LETM2|PIK3CA_1___NOTCH2|PIK3CA_1___POU5F1B|PIK3CA_1___RAD54B|PIK3CA_1___RYR2|PIK3CA_1___SPTA1|PIK3CA_1___TG|PIK3CA_1___TP53|POU5F1B_0___LETM2|POU5F1B_0___RYR2|RAD54B_0___TG|RYR2_0___LETM2|SPTA1_0___AHCTF1|SPTA1_0___BAI1|SPTA1_0___ERBB2|SPTA1_0___LETM2|SPTA1_0___NOTCH2|SPTA1_0___POU5F1B|SPTA1_0___RAD54B|SPTA1_0___RYR2|SPTA1_0___TG|SPTA1_0___TP53|SPTA1_1___ADAMTSL4|SPTA1_1___CDH1|TP53_0___AHCTF1|TP53_0___NOTCH2|TP53_0___RAD54B|TP53_0___TG|TP53_1___BAI1|TP53_1___ERBB2|TP53_1___LETM2|TP53_1___POU5F1B|TP53_1___RYR2|TTN_0___SLC26A7
2,28,ADRB3_0___RECQL4|ADRB3_0___RN7SL685P|ADRB3_0___SLC26A7|CDC42BPA_0___ADRB3|CDC42BPA_0___RECQL4|CDC42BPA_0___RN7SL685P|CDC42BPA_0___SLC26A7|CEP170_0___DNAH14|MYEOV_0___ADRB3|MYEOV_0___CDC42BPA|MYEOV_0___CEP170|MYEOV_0___DNAH14|MYEOV_0___OBSCN|MYEOV_0___RECQL4|MYEOV_0___RN7SL685P|MYEOV_0___SLC26A7|MYEOV_1___PKHD1L1|MYEOV_1___SPTA1|OBSCN_0___ADRB3|OBSCN_0___CDC42BPA|OBSCN_0___RECQL4|OBSCN_0___RN7SL685P|OBSCN_0___SLC26A7|OBSCN_1___CEP170|OBSCN_1___DNAH14|PKHD1L1_0___SPTA1|RECQL4_0___RN7SL685P|RECQL4_1___SLC26A7
3,38,CSMD1_1___EPPK1|MRPL13_1___TFB2M|MYEOV_0___CSMD1|MYEOV_0___EPPK1|MYEOV_0___ORAOV1|MYEOV_0___RUNX1T1|MYEOV_0___SPTA1|MYEOV_0___TBC1D31|MYEOV_0___TTN|MYEOV_0___USH2A|MYEOV_0___ZFPM2|MYEOV_1___MRPL13|MYEOV_1___TFB2M|ORAOV1_0___CSMD1|ORAOV1_0___EPPK1|ORAOV1_0___RUNX1T1|ORAOV1_0___SPTA1|ORAOV1_0___TBC1D31|ORAOV1_0___TTN|ORAOV1_0___USH2A|ORAOV1_0___ZFPM2|RUNX1T1_1___SPTA1|RUNX1T1_1___TTN|SPTA1_0___TTN|TBC1D31_1___RUNX1T1|TBC1D31_1___SPTA1|TBC1D31_1___TTN|TBC1D31_1___USH2A|USH2A_0___RUNX1T1|USH2A_0___SPTA1|USH2A_0___TTN|ZFPM2_0___CSMD1|ZFPM2_0___EPPK1|ZFPM2_1___RUNX1T1|ZFPM2_1___SPTA1|ZFPM2_1___TBC1D31|ZFPM2_1___TTN|ZFPM2_1___USH2A
4,20,FLG_0___TP53|MYEOV_1___FLG|MYEOV_1___FMN2|MYEOV_1___NID1|MYEOV_1___OBSCN|MYEOV_1___PPFIA1|MYEOV_1___RAD54B|MYEOV_1___TP53|NID1_0___FLG|NID1_0___OBSCN|NID1_0___TP53|OBSCN_0___FLG|OBSCN_0___TP53|PPFIA1_0___FMN2|PPFIA1_0___RAD54B|PPFIA1_1___FLG|PPFIA1_1___NID1|PPFIA1_1___OBSCN|PPFIA1_1___TP53|RAD54B_0___FMN2
5,0,
6,31,DCAF13_0___TRAPPC9|DCAF13_1___EIF3H|DCAF13_1___GATA3|EIF3H_1___GATA3|FLG2_0___DCAF13|FLG2_0___EIF3H|FLG2_0___GATA3|FLG2_0___GPR137B|FLG2_0___OR2T2|FLG2_0___TRAPPC9|FLG2_1___HEATR1|GPR137B_0___DCAF13|GPR137B_0___EIF3H|GPR137B_0___GATA3|GPR137B_0___OR2T2|GPR137B_0___TRAPPC9|OR2T2_0___DCAF13|OR2T2_0___EIF3H|OR2T2_0___GATA3|OR2T2_0___TRAPPC9|RGS7_0___KCNS2|TRIM67_0___DCAF13|TRIM67_0___EIF3H|TRIM67_0___FLG2|TRIM67_0___GATA3|TRIM67_0___GPR137B|TRIM67_0___HEATR1|TRIM67_0___OR2T2|TRIM67_0___TRAPPC9|TRIM67_1___KCNS2|TRIM67_1___RGS7
7,46,AKT3_0___TARBP1|CDC42BPA_0___AKT3|CDC42BPA_0___TARBP1|CDC42BPA_1___LYST|COL22A1_0___DNAH14|COL22A1_0___TTN|CSMD1_0___PIK3CA|CSMD1_0___ZHX1|FAM135B_0___COL22A1|FAM135B_0___DNAH14|FAM135B_0___SPTA1|FAM135B_0___TTN|MYEOV_0___AKT3|MYEOV_0___CDC42BPA|MYEOV_0___CSMD1|MYEOV_0___LYST|MYEOV_0___PIK3CA|MYEOV_0___PPFIA1|MYEOV_0___TARBP1|MYEOV_0___TTN|MYEOV_0___ZHX1|MYEOV_1___COL22A1|MYEOV_1___DNAH14|MYEOV_1___FAM135B|MYEOV_1___SPTA1|MYEOV_1___TTN|PPFIA1_0___AKT3|PPFIA1_0___CDC42BPA|PPFIA1_0___CSMD1|PPFIA1_0___LYST|PPFIA1_0___PIK3CA|PPFIA1_0___TARBP1|PPFIA1_0___TTN|PPFIA1_0___ZHX1|SPTA1_0___COL22A1|SPTA1_0___DNAH14|SPTA1_0___TTN|TTN_0___AKT3|TTN_0___CDC42BPA|TTN_0___DNAH14|TTN_0___LYST|TTN_0___TARBP1|TTN_1___CSMD1|TTN_1___PIK3CA|TTN_1___ZHX1|ZHX1_1___PIK3CA
8,69,ADCY8_0___OXR1|FGFR1_0___ADCY8|FGFR1_0___FMN2|FGFR1_0___KCNU1|FGFR1_0___MYEOV|FGFR1_0___OBSCN|FGFR1_0___OXR1|FGFR1_0___PLD5|FGFR1_0___PPFIA1|FGFR1_0___PVT1|FGFR1_0___SETDB1|FGFR1_0___TP53|FGFR1_1___CYP11B2|KCNU1_0___FMN2|KCNU1_0___OBSCN|KCNU1_0___PLD5|KCNU1_0___PVT1|MYEOV_0___FMN2|MYEOV_0___KCNU1|MYEOV_0___OBSCN|MYEOV_0___PLD5|MYEOV_0___PPFIA1|MYEOV_0___PVT1|MYEOV_1___ADCY8|MYEOV_1___OXR1|MYEOV_1___SETDB1|MYEOV_1___TP53|OBSCN_0___PLD5|OBSCN_0___PVT1|OBSCN_1___FMN2|PLD5_1___PVT1|PPFIA1_0___FMN2|PPFIA1_0___KCNU1|PPFIA1_0___OBSCN|PPFIA1_0___PLD5|PPFIA1_0___PVT1|RUNX1T1_0___ADCY8|RUNX1T1_0___CYP11B2|RUNX1T1_0___FGFR1|RUNX1T1_0___FMN2|RUNX1T1_0___HMCN1|RUNX1T1_0___KCNU1|RUNX1T1_0___MYEOV|RUNX1T1_0___OBSCN|RUNX1T1_0___OXR1|RUNX1T1_0___PLD5|RUNX1T1_0___PPFIA1|RUNX1T1_0___PVT1|RUNX1T1_0___SETDB1|RUNX1T1_0___TP53|RUNX1T1_0___TTN|RUNX1T1_1___ZNF496|TP53_0___SETDB1|TP53_1___ADCY8|TP53_1___OXR1|TTN_0___ADCY8|TTN_0___CYP11B2|TTN_0___FGFR1|TTN_0___FMN2|TTN_0___KCNU1|TTN_0___MYEOV|TTN_0___OBSCN|TTN_0___OXR1|TTN_0___PLD5|TTN_0___PPFIA1|TTN_0___PVT1|TTN_0___SETDB1|TTN_0___TP53|TTN_1___HMCN1
9,33,BAALC_0___STAR|BAALC_1___TRIQK|MYEOV_0___ANXA13|MYEOV_0___CSMD1|MYEOV_0___PPFIA1|MYEOV_0___TRIB1|MYEOV_0___ZFPM2|MYEOV_0___snoU13|ENSG00000238372.1|MYEOV_0___snoU13|ENSG00000238901.1|MYEOV_1___BAALC|MYEOV_1___PPFIA1|MYEOV_1___RAD54B|MYEOV_1___STAR|MYEOV_1___TRIQK|PPFIA1_0___ANXA13|PPFIA1_0___CSMD1|PPFIA1_0___RAD54B|PPFIA1_0___TRIB1|PPFIA1_0___ZFPM2|PPFIA1_0___snoU13|ENSG00000238372.1|PPFIA1_0___snoU13|ENSG00000238901.1|PPFIA1_1___BAALC|PPFIA1_1___STAR|PPFIA1_1___TRIQK|TRIB1_0___ANXA13|ZFPM2_0___ANXA13|ZFPM2_0___TRIB1|ZFPM2_0___snoU13|ENSG00000238372.1|ZFPM2_1___CSMD1|ZFPM2_1___snoU13|ENSG00000238901.1|snoU13|ENSG00000238372.1_0___ANXA13|snoU13|ENSG00000238372.1_0___TRIB1|snoU13|ENSG00000238901.1_1___CSMD1
10,28,CDH17_0___IRF2BP2|CDH17_0___TFB2M|CDH17_0___TRIM67|CDH17_1___DENND3|CDH17_1___DNAH14|CDH17_1___GATA3|CDH17_1___USH2A|DENND3_0___GATA3|DNAH14_0___DENND3|DNAH14_0___GATA3|LYST_0___KCNQ3|LYST_1___TAF2|PLEKHA6_0___CDH17|PLEKHA6_0___DENND3|PLEKHA6_0___DNAH14|PLEKHA6_0___GATA3|PLEKHA6_0___IRF2BP2|PLEKHA6_0___TFB2M|PLEKHA6_0___TRIM67|PLEKHA6_0___USH2A|PLEKHA6_1___KCNQ3|PLEKHA6_1___LYST|PLEKHA6_1___TAF2|TFB2M_0___TRIM67|TFB2M_1___IRF2BP2|USH2A_0___DENND3|USH2A_0___DNAH14|USH2A_0___GATA3
