gene,scna_count,scna_frequency,mutation_count,mutation_frequency,combined_count,combined_frequency,selected_top500
PIK3CA,37,0.04749679075738126,270,0.3465982028241335,296,0.37997432605905007,True
TP53,7,0.008985879332477536,261,0.33504492939666236,266,0.34146341463414637,True
CSMD3,131,0.1681643132220796,35,0.044929396662387676,156,0.20025673940949937,True
PVT1,152,0.1951219512195122,0,0.0,152,0.1951219512195122,True
MYC,151,0.19383825417201542,2,0.0025673940949935813,152,0.1951219512195122,True
POU5F1B,147,0.18870346598202825,3,0.0038510911424903724,150,0.1925545571245186,True
TRPS1,142,0.1822849807445443,9,0.011553273427471117,150,0.1925545571245186,True
FER1L6,138,0.17715019255455713,13,0.01668806161745828,149,0.19127086007702182,True
CASC8,148,0.18998716302952504,0,0.0,148,0.18998716302952504,True
MIR1208,147,0.18870346598202825,0,0.0,147,0.18870346598202825,True
COL14A1,134,0.17201540436456997,16,0.02053915275994865,147,0.18870346598202825,True
LINC00536,146,0.18741976893453144,0,0.0,146,0.18741976893453144,True
RN7SKP226,146,0.18741976893453144,0,0.0,146,0.18741976893453144,True
MIR1205,145,0.18613607188703465,0,0.0,145,0.18613607188703465,True
MIR1207,145,0.18613607188703465,0,0.0,145,0.18613607188703465,True
TMEM75,145,0.18613607188703465,0,0.0,145,0.18613607188703465,True
PKHD1L1,121,0.15532734274711169,29,0.037227214377406934,145,0.18613607188703465,True
ENPP2,136,0.17458279845956354,11,0.014120667522464698,144,0.18485237483953787,True
FAM91A1,138,0.17715019255455713,7,0.008985879332477536,143,0.18356867779204109,True
MTSS1,138,0.17715019255455713,7,0.008985879332477536,143,0.18356867779204109,True
ATAD2,135,0.17329910141206675,10,0.012836970474967908,143,0.18356867779204109,True
CCAT1,142,0.1822849807445443,0,0.0,142,0.1822849807445443,True
SLC30A8,141,0.1810012836970475,2,0.0025673940949935813,142,0.1822849807445443,True
EXT1,139,0.17843388960205392,3,0.0038510911424903724,142,0.1822849807445443,True
EIF3H,141,0.1810012836970475,0,0.0,141,0.1810012836970475,True
NSMCE2,139,0.17843388960205392,3,0.0038510911424903724,141,0.1810012836970475,True
RAD21,138,0.17715019255455713,4,0.005134788189987163,141,0.1810012836970475,True
TAF2,138,0.17715019255455713,3,0.0038510911424903724,141,0.1810012836970475,True
TTN,5,0.006418485237483954,136,0.17458279845956354,141,0.1810012836970475,True
SAMD12,140,0.1797175866495507,3,0.0038510911424903724,140,0.1797175866495507,True
MED30,140,0.1797175866495507,0,0.0,140,0.1797175866495507,True
PCAT1,140,0.1797175866495507,0,0.0,140,0.1797175866495507,True
