Gene_pair,Number of appearances as partners in the same branch,Rank of number of appearances as partners in the same branch,Branch,Start_gene,Finish_gene
OR2T2_0___PIK3CA,96,1.0,0,OR2T2,PIK3CA
MYEOV_0___PIK3CA,86,2.0,0,MYEOV,PIK3CA
TP53_0___PIK3CA,85,4.0,0,TP53,PIK3CA
CSMD1_0___PIK3CA,85,4.0,0,CSMD1,PIK3CA
ZFPM2_0___PIK3CA,85,4.0,0,ZFPM2,PIK3CA
CSMD1_0___TP53,83,6.0,0,CSMD1,TP53
TTN_0___PIK3CA,82,8.0,0,TTN,PIK3CA
MYEOV_0___TP53,82,8.0,0,MYEOV,TP53
OR2T2_0___TP53,81,10.0,0,OR2T2,TP53
GATA3_0___PIK3CA,81,10.0,0,GATA3,PIK3CA
MYEOV_0___CDH1,77,12.0,0,MYEOV,CDH1
OR2T2_0___GATA3,77,12.0,0,OR2T2,GATA3
TTN_0___TP53,77,12.0,0,TTN,TP53
OR2T2_0___OR2T3,75,14.0,0,OR2T2,OR2T3
TTN_0___GATA3,73,16.0,0,TTN,GATA3
CSMD1_0___GATA3,73,16.0,0,CSMD1,GATA3
MYEOV_0___TTN,73,16.0,0,MYEOV,TTN
ZFPM2_0___CDH1,73,16.0,0,ZFPM2,CDH1
ZFPM2_0___TP53,71,20.0,0,ZFPM2,TP53
MYEOV_0___GATA3,71,20.0,0,MYEOV,GATA3
TTN_0___CDH1,71,20.0,0,TTN,CDH1
GATA3_0___TP53,69,22.0,0,GATA3,TP53
TP53_0___GATA3,68,24.0,0,TP53,GATA3
TP53_0___CDH1,68,24.0,0,TP53,CDH1
MYEOV_0___CSMD1,67,26.0,0,MYEOV,CSMD1
CDH1_0___PIK3CA,67,26.0,0,CDH1,PIK3CA
OR2T2_0___TCHH,67,26.0,0,OR2T2,TCHH
NOTCH2_0___PIK3CA,65,29.0,0,NOTCH2,PIK3CA
TCHH_0___PIK3CA,65,29.0,0,TCHH,PIK3CA
MYEOV_0___ERBB2,65,29.0,0,MYEOV,ERBB2
ZFPM2_0___GATA3,64,32.0,0,ZFPM2,GATA3
ERBB2_0___PIK3CA,64,32.0,0,ERBB2,PIK3CA
OR2T2_0___OR2T34,62,33.0,0,OR2T2,OR2T34
AHCTF1_0___PIK3CA,61,34.0,0,AHCTF1,PIK3CA
TRIM67_0___TP53,60,36.0,0,TRIM67,TP53
TTN_0___CSMD1,60,36.0,0,TTN,CSMD1
OR2T2_0___ZP4,60,36.0,0,OR2T2,ZP4
TRIM67_0___PIK3CA,60,36.0,0,TRIM67,PIK3CA
OR2T2_0___OR2C3,59,40.0,0,OR2T2,OR2C3
MYEOV_0___PLD5,59,40.0,0,MYEOV,PLD5
OR2T3_0___PIK3CA,59,40.0,0,OR2T3,PIK3CA
OR2T2_0___NDUFB9,59,40.0,0,OR2T2,NDUFB9
NDUFB9_0___PIK3CA,58,45.0,0,NDUFB9,PIK3CA
TTN_0___ERBB2,58,45.0,0,TTN,ERBB2
ZFPM2_0___TCHH,58,45.0,0,ZFPM2,TCHH
ZFPM2_0___NOTCH2,58,45.0,0,ZFPM2,NOTCH2
PIK3CA_0___GATA3,58,45.0,0,PIK3CA,GATA3
NOTCH2_0___TP53,57,52.0,0,NOTCH2,TP53
CDC42BPA_0___TP53,57,52.0,0,CDC42BPA,TP53
OR2T2_0___CDH1,57,52.0,0,OR2T2,CDH1
ZFPM2_0___ERBB2,57,52.0,0,ZFPM2,ERBB2
GATA3_0___CDH1,57,52.0,0,GATA3,CDH1
OR2T2_0___RIMS2,57,52.0,0,OR2T2,RIMS2
MYEOV_0___TCHH,57,52.0,0,MYEOV,TCHH
OR2T34_0___PIK3CA,57,52.0,0,OR2T34,PIK3CA
ZFPM2_0___RIMS2,57,52.0,0,ZFPM2,RIMS2
OR2T2_0___OR2AK2,57,52.0,0,OR2T2,OR2AK2
ZFPM2_0___OR2T2,56,60.0,0,ZFPM2,OR2T2
CSMD1_0___CSMD3,56,60.0,0,CSMD1,CSMD3
OR2T2_0___ERBB2,56,60.0,0,OR2T2,ERBB2
MYEOV_0___CSMD3,56,60.0,0,MYEOV,CSMD3
MYEOV_1___NOTCH2,55,64.0,1,MYEOV,NOTCH2
CDH1_0___TP53,55,64.0,0,CDH1,TP53
OR2T2_0___TTN,55,64.0,0,OR2T2,TTN
OR2T2_0___ZNF670,55,64.0,0,OR2T2,ZNF670
TCHH_0___TP53,55,64.0,0,TCHH,TP53
OR2C3_0___PIK3CA,55,64.0,0,OR2C3,PIK3CA
MYEOV_1___GATA3,54,70.0,1,MYEOV,GATA3
GATA3_0___TTN,54,70.0,0,GATA3,TTN
CDC42BPA_0___PIK3CA,54,70.0,0,CDC42BPA,PIK3CA
GPR137B_0___PIK3CA,54,70.0,0,GPR137B,PIK3CA
OR2T3_0___TP53,53,76.0,0,OR2T3,TP53
OR2T2_0___EFR3A,53,76.0,0,OR2T2,EFR3A
OR2T2_0___PLD5,53,76.0,0,OR2T2,PLD5
PLEKHA6_0___PIK3CA,53,76.0,0,PLEKHA6,PIK3CA
ZFPM2_0___CSMD1,53,76.0,0,ZFPM2,CSMD1
CDH1_1___PIK3CA,53,76.0,1,CDH1,PIK3CA
TTN_0___NOTCH2,53,76.0,0,TTN,NOTCH2
RIMS2_0___PIK3CA,53,76.0,0,RIMS2,PIK3CA
PIK3CA_0___TP53,52,80.0,0,PIK3CA,TP53
ZFPM2_0___OR2T3,52,80.0,0,ZFPM2,OR2T3
MYEOV_0___RYR2,51,85.0,0,MYEOV,RYR2
ERBB2_0___CDH1,51,85.0,0,ERBB2,CDH1
ZFPM2_0___RAD54B,51,85.0,0,ZFPM2,RAD54B
TTN_0___CSMD3,51,85.0,0,TTN,CSMD3
ZFPM2_0___TTN,51,85.0,0,ZFPM2,TTN
OR2T2_0___RAD54B,51,85.0,0,OR2T2,RAD54B
MYEOV_1___PIK3CA,51,85.0,1,MYEOV,PIK3CA
GPR137B_0___TP53,50,92.0,0,GPR137B,TP53
TTN_1___PIK3CA,50,92.0,1,TTN,PIK3CA
OR2T2_0___AHCTF1,50,92.0,0,OR2T2,AHCTF1
OR2T2_0___CSMD1,50,92.0,0,OR2T2,CSMD1
CSMD1_0___CDH1,50,92.0,0,CSMD1,CDH1
PPFIA1_0___PIK3CA,50,92.0,0,PPFIA1,PIK3CA
CSMD1_0___ERBB2,50,92.0,0,CSMD1,ERBB2
ZNF670_0___PIK3CA,49,99.0,0,ZNF670,PIK3CA
OR2T2_0___TARBP1,49,99.0,0,OR2T2,TARBP1
MYEOV_0___TRPS1,49,99.0,0,MYEOV,TRPS1
MYEOV_0___HMCN1,49,99.0,0,MYEOV,HMCN1
OBSCN_0___PIK3CA,49,99.0,0,OBSCN,PIK3CA
ZFPM2_0___EFR3A,49,99.0,0,ZFPM2,EFR3A
TARBP1_0___PIK3CA,49,99.0,0,TARBP1,PIK3CA
AHCTF1_0___TP53,48,107.0,0,AHCTF1,TP53
MYEOV_0___RIMS2,48,107.0,0,MYEOV,RIMS2
OR2T3_0___OR2T34,48,107.0,0,OR2T3,OR2T34
ERBB2_1___TP53,48,107.0,1,ERBB2,TP53
OR2AK2_0___TCHH,48,107.0,0,OR2AK2,TCHH
MYEOV_1___TP53,48,107.0,1,MYEOV,TP53
OR2T2_0___ADCK5,48,107.0,0,OR2T2,ADCK5
ERBB2_0___TP53,48,107.0,0,ERBB2,TP53
USH2A_0___PIK3CA,48,107.0,0,USH2A,PIK3CA
OR2T2_0___PVT1,47,116.0,0,OR2T2,PVT1
TTN_0___ANO1,47,116.0,0,TTN,ANO1
TTN_0___OR2T2,47,116.0,0,TTN,OR2T2
CSMD1_0___FLG,47,116.0,0,CSMD1,FLG
MYEOV_0___EFR3A,47,116.0,0,MYEOV,EFR3A
TTN_0___PLD5,47,116.0,0,TTN,PLD5
GATA3_1___PIK3CA,47,116.0,1,GATA3,PIK3CA
CDC42BPA_0___GATA3,47,116.0,0,CDC42BPA,GATA3
TRIM67_0___GATA3,46,124.0,0,TRIM67,GATA3
OR2T2_0___TRPS1,46,124.0,0,OR2T2,TRPS1
CDC42BPA_0___OR2T2,46,124.0,0,CDC42BPA,OR2T2
ZFPM2_0___OR2AK2,46,124.0,0,ZFPM2,OR2AK2
ZFPM2_0___ZP4,46,124.0,0,ZFPM2,ZP4
OR2AK2_0___TP53,46,124.0,0,OR2AK2,TP53
ADSS_0___PIK3CA,46,124.0,0,ADSS,PIK3CA
OR2T3_0___GATA3,46,124.0,0,OR2T3,GATA3
TP53_0___NOTCH2,46,124.0,0,TP53,NOTCH2
OR2C3_0___TP53,46,124.0,0,OR2C3,TP53
PVT1_0___PIK3CA,45,136.0,0,PVT1,PIK3CA
MYEOV_0___OXR1,45,136.0,0,MYEOV,OXR1
TRIM67_0___OR2T2,45,136.0,0,TRIM67,OR2T2
PLD5_0___PIK3CA,45,136.0,0,PLD5,PIK3CA
MYEOV_0___DNAH14,45,136.0,0,MYEOV,DNAH14
OR2T2_0___OBSCN,45,136.0,0,OR2T2,OBSCN
MYEOV_0___FLG,45,136.0,0,MYEOV,FLG
CDH1_0___GATA3,45,136.0,0,CDH1,GATA3
OR2T2_0___NOTCH2,45,136.0,0,OR2T2,NOTCH2
TTN_0___RYR2,45,136.0,0,TTN,RYR2
ZFPM2_0___NDUFB9,45,136.0,0,ZFPM2,NDUFB9
ZFPM2_0___RYR2,45,136.0,0,ZFPM2,RYR2
TP53_0___TTN,44,148.0,0,TP53,TTN
PLEKHA6_0___GATA3,44,148.0,0,PLEKHA6,GATA3
TRIM67_0___TTN,44,148.0,0,TRIM67,TTN
TTN_0___ZNF670,44,148.0,0,TTN,ZNF670
EFR3A_0___PIK3CA,44,148.0,0,EFR3A,PIK3CA
TRIM67_0___TCHH,44,148.0,0,TRIM67,TCHH
ZFPM2_0___OR2T34,44,148.0,0,ZFPM2,OR2T34
SPTA1_0___PIK3CA,44,148.0,0,SPTA1,PIK3CA
ZFPM2_0___TRPS1,44,148.0,0,ZFPM2,TRPS1
NOTCH2_0___GATA3,44,148.0,0,NOTCH2,GATA3
