sample,tumor_expression,normal_mean,normal_sd_used,z_score,two_sided_gaussian_p,DEG_label,abs_z_ge_threshold,MPL_GISTIC,cis_SCNA_event,DEG_if_cis_SCNA_excluded
TCGA-E2-A14W-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-A1-A0SM-01,1.6288,3.06646460176991,0.673992692165813,-2.13305666141588,0.032920078385221055,0,0,1,0,0
TCGA-AR-A1AV-01,1.3444,3.06646460176991,0.673992692165813,-2.55501969351658,0.010618179025617755,0,0,0,0,0
TCGA-EW-A1PD-01,2.8505,3.06646460176991,0.673992692165813,-0.3204257320297171,0.7486456216751614,0,0,1,0,0
TCGA-EW-A6SA-01,1.0588,3.06646460176991,0.673992692165813,-2.9787631603518823,0.0028941438626954095,1,1,-1,0,1
TCGA-AC-A62V-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-BH-A0DD-01,2.3507,3.06646460176991,0.673992692165813,-1.0619767989914952,0.2882462179991005,0,0,0,0,0
TCGA-AQ-A54O-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-D8-A1XS-01,0.5799,3.06646460176991,0.673992692165813,-3.68930498901934,0.0002248675174842387,1,1,-1,0,1
TCGA-A2-A25D-01,1.8506,3.06646460176991,0.673992692165813,-1.8039729746369237,0.07123554372043202,0,0,0,0,0
TCGA-AC-A23H-01,1.6363,3.06646460176991,0.673992692165813,-2.1219289443246168,0.03384370541012,0,0,0,0,0
TCGA-BH-A1F8-01,1.3728,3.06646460176991,0.673992692165813,-2.5128827381309966,0.011974913091441662,0,0,-1,0,0
TCGA-C8-A26Y-01,2.9378,3.06646460176991,0.673992692165813,-0.19089910508741312,0.8486046413170405,0,0,0,0,0
TCGA-D8-A1JK-01,0.8334,3.06646460176991,0.673992692165813,-3.313188151334644,0.0009223890577390256,1,1,0,0,1
TCGA-E2-A9RU-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-LL-A6FP-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-E2-A15O-01,2.5354,3.06646460176991,0.673992692165813,-0.787938219423987,0.430732844066618,0,0,0,0,0
TCGA-BH-A18N-01,1.9446,3.06646460176991,0.673992692165813,-1.6645055870930918,0.09601143547354617,0,0,0,0,0
TCGA-BH-A1FG-01,2.5145,3.06646460176991,0.673992692165813,-0.8189474577183072,0.41281639171000006,0,0,0,0,0
TCGA-D8-A73U-01,1.3929,3.06646460176991,0.673992692165813,-2.4830604563264114,0.013025897838954118,0,0,-1,0,0
TCGA-LL-A5YM-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-AC-A3HN-01,1.2639,3.06646460176991,0.673992692165813,-2.674457190296138,0.007485033195511945,0,0,0,0,0
TCGA-BH-A8FY-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-D8-A1XG-01,1.2116,3.06646460176991,0.673992692165813,-2.7520544708125465,0.00592226693235508,0,0,-1,0,0
TCGA-A2-A1G1-01,2.4829,3.06646460176991,0.673992692165813,-0.8658322390628296,0.38658216681907714,0,0,1,0,0
TCGA-D8-A1XC-01,2.1674,3.06646460176991,0.673992692165813,-1.3339382047019668,0.18222410945399564,0,0,0,0,0
TCGA-A7-A56D-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,-1,0,1
TCGA-AC-A2B8-01,2.508,3.06646460176991,0.673992692165813,-0.828591479197402,0.4073356111939796,0,0,0,0,0
TCGA-AQ-A1H2-01,1.8391,3.06646460176991,0.673992692165813,-1.8210354741768606,0.06860146462654178,0,0,0,0,0
TCGA-D8-A1XV-01,2.8845,3.06646460176991,0.673992692165813,-0.26998008121599026,0.787175577670061,0,0,-1,0,0
TCGA-E2-A1LK-01,1.9075,3.06646460176991,0.673992692165813,-1.7195506943045404,0.08551414522099601,0,0,0,0,0
TCGA-LL-A50Y-01,2.2132,3.06646460176991,0.673992692165813,-1.2659849456646532,0.2055184720430074,0,0,0,0,0
TCGA-AR-A1AJ-01,2.088,3.06646460176991,0.673992692165813,-1.4517436363081397,0.14657290121532024,0,0,0,0,0
TCGA-BH-A1EU-01,2.5481,3.06646460176991,0.673992692165813,-0.7690952851494485,0.44183674694374936,0,0,-1,0,0
TCGA-BH-A0WA-01,3.6288,3.06646460176991,0.673992692165813,0.8343345629209675,0.4040924804391712,0,0,0,0,0
TCGA-C8-A131-01,0.8197,3.06646460176991,0.673992692165813,-3.3335147812213517,0.0008575611490859688,1,1,0,0,1
TCGA-S3-AA12-01,0.8638,3.06646460176991,0.673992692165813,-3.2680838047247245,0.0010827829889632722,1,1,0,0,1
TCGA-B6-A0IH-01,2.7284,3.06646460176991,0.673992692165813,-0.5015849662754811,0.6159594966776305,0,0,-1,0,0
TCGA-BH-A0HK-01,1.7558,3.06646460176991,0.673992692165813,-1.9446273186704903,0.05181984888707287,0,0,0,0,0
TCGA-BH-A18G-01,0.0,3.06646460176991,0.673992692165813,-4.549700074515809,5.372243278650406e-06,1,1,0,0,1
TCGA-D8-A1X5-01,0.7993,3.06646460176991,0.673992692165813,-3.3637821717095875,0.0007688219836478662,1,1,-1,0,1
TCGA-D8-A1XZ-01,1.2712,3.06646460176991,0.673992692165813,-2.6636262123273085,0.0077303406685346535,0,0,1,0,0
TCGA-AR-A1AP-01,1.2924,3.06646460176991,0.673992692165813,-2.632171865349338,0.008484093304978511,0,0,-1,0,0
TCGA-BH-A1F0-01,2.0408,3.06646460176991,0.673992692165813,-1.5217740692024897,0.12806570097800699,0,0,1,0,0
TCGA-BH-A204-01,1.4345,3.06646460176991,0.673992692165813,-2.4213387188602047,0.015463461138893077,0,0,-1,0,0
TCGA-BH-A42U-01,2.0645,3.06646460176991,0.673992692165813,-1.4866104831940983,0.13711771744123258,0,0,0,0,0
TCGA-C8-A12K-01,1.027,3.06646460176991,0.673992692165813,-3.0259446808188373,0.0024785764530049765,1,1,0,0,1
TCGA-D8-A145-01,3.1434,3.06646460176991,0.673992692165813,0.11414871277441484,0.9091199073422117,0,0,0,0,0
TCGA-D8-A1JN-01,2.1698,3.06646460176991,0.673992692165813,-1.330377335232763,0.1833939782970151,0,0,0,0,0
TCGA-D8-A1X6-01,1.8501,3.06646460176991,0.673992692165813,-1.8047148224430078,0.07111931914018506,0,0,0,0,0
