tree_id,DEG_0_count,DEG_1_count,total_count
1,553,226,779
2,553,226,779
3,553,226,779
4,553,226,779
5,553,226,779
6,553,226,779
7,553,226,779
8,553,226,779
9,553,226,779
10,553,226,779
11,553,226,779
12,553,226,779
13,553,226,779
14,553,226,779
15,553,226,779
16,553,226,779
17,553,226,779
18,553,226,779
19,553,226,779
20,553,226,779
21,553,226,779
22,553,226,779
23,553,226,779
24,553,226,779
25,553,226,779
26,553,226,779
27,553,226,779
28,553,226,779
29,553,226,779
30,553,226,779
31,553,226,779
32,553,226,779
33,553,226,779
34,553,226,779
35,553,226,779
36,553,226,779
37,553,226,779
38,553,226,779
39,553,226,779
40,553,226,779
41,553,226,779
42,553,226,779
43,553,226,779
44,553,226,779
45,553,226,779
46,553,226,779
47,553,226,779
48,553,226,779
49,553,226,779
50,553,226,779
51,553,226,779
52,553,226,779
53,553,226,779
54,553,226,779
55,553,226,779
56,553,226,779
57,553,226,779
58,553,226,779
59,553,226,779
60,553,226,779
61,553,226,779
62,553,226,779
63,553,226,779
64,553,226,779
65,553,226,779
66,553,226,779
67,553,226,779
68,553,226,779
69,553,226,779
70,553,226,779
71,553,226,779
72,553,226,779
73,553,226,779
74,553,226,779
75,553,226,779
76,553,226,779
77,553,226,779
78,553,226,779
79,553,226,779
80,553,226,779
81,553,226,779
82,553,226,779
83,553,226,779
84,553,226,779
85,553,226,779
86,553,226,779
87,553,226,779
88,553,226,779
89,553,226,779
90,553,226,779
91,553,226,779
92,553,226,779
93,553,226,779
94,553,226,779
95,553,226,779
96,553,226,779
97,553,226,779
98,553,226,779
99,553,226,779
100,553,226,779
101,553,226,779
102,553,226,779
103,553,226,779
104,553,226,779
105,553,226,779
106,553,226,779
107,553,226,779
108,553,226,779
109,553,226,779
110,553,226,779
111,553,226,779
112,553,226,779
113,553,226,779
114,553,226,779
115,553,226,779
116,553,226,779
117,553,226,779
118,553,226,779
119,553,226,779
120,553,226,779
121,553,226,779
122,553,226,779
123,553,226,779
124,553,226,779
125,553,226,779
126,553,226,779
127,553,226,779
128,553,226,779
129,553,226,779
130,553,226,779
131,553,226,779
132,553,226,779
133,553,226,779
134,553,226,779
135,553,226,779
136,553,226,779
137,553,226,779
138,553,226,779
139,553,226,779
140,553,226,779
141,553,226,779
142,553,226,779
143,553,226,779
144,553,226,779
145,553,226,779
146,553,226,779
147,553,226,779
148,553,226,779
149,553,226,779
150,553,226,779
151,553,226,779
152,553,226,779
153,553,226,779
154,553,226,779
155,553,226,779
156,553,226,779
157,553,226,779
158,553,226,779
159,553,226,779
160,553,226,779
161,553,226,779
162,553,226,779
163,553,226,779
164,553,226,779
165,553,226,779
166,553,226,779
167,553,226,779
168,553,226,779
169,553,226,779
170,553,226,779
171,553,226,779
172,553,226,779
173,553,226,779
174,553,226,779
175,553,226,779
176,553,226,779
177,553,226,779
178,553,226,779
179,553,226,779
180,553,226,779
181,553,226,779
182,553,226,779
183,553,226,779
184,553,226,779
185,553,226,779
186,553,226,779
187,553,226,779
188,553,226,779
189,553,226,779
190,553,226,779
191,553,226,779
192,553,226,779
193,553,226,779
194,553,226,779
195,553,226,779
196,553,226,779
197,553,226,779
198,553,226,779
199,553,226,779
200,553,226,779
