tree_id,num_rows_in_tree_output,num_nonzero_nodes,unique_SGA_used,duplicated_nonzero_node_rows,root_node,depth,terminal_zero_rows,bootstrap_DEG_0,bootstrap_DEG_1,total_count
1,173,86,61,25,PIK3CA,28,87,553,226,779
2,185,92,66,26,MYEOV,31,93,553,226,779
3,223,111,76,35,MYEOV,47,112,553,226,779
4,199,99,76,23,MYEOV,42,100,553,226,779
5,1,1,1,0,,0,0,553,226,779
6,167,83,61,22,TRIM67,35,84,553,226,779
7,193,96,69,27,MYEOV,36,97,553,226,779
8,187,93,69,24,RUNX1T1,32,94,553,226,779
9,141,70,56,14,MYEOV,29,71,553,226,779
10,161,80,61,19,PLEKHA6,27,81,553,226,779
11,183,91,72,19,MIR548A3,34,92,553,226,779
12,171,85,75,10,CDC42BPA,38,86,553,226,779
13,203,101,72,29,ERBB2,25,102,553,226,779
14,177,88,71,17,ESRP1,36,89,553,226,779
15,153,76,63,13,SPTA1,32,77,553,226,779
16,181,90,65,25,SPTA1,32,91,553,226,779
17,151,75,60,15,MYEOV,28,76,553,226,779
18,163,81,70,11,ZFPM2,41,82,553,226,779
19,147,73,56,17,MYEOV,26,74,553,226,779
20,189,94,67,27,MYEOV,46,95,553,226,779
21,121,60,52,8,CDC42BPA,21,61,553,226,779
22,195,97,69,28,CDC42BPA,42,98,553,226,779
23,181,90,61,29,CDC42BPA,33,91,553,226,779
24,149,74,52,22,TRIM67,22,75,553,226,779
25,157,78,59,19,ZFPM2,26,79,553,226,779
26,155,77,63,14,MYEOV,35,78,553,226,779
27,183,91,73,18,PLEKHA6,30,92,553,226,779
28,175,87,70,17,TRIM67,25,88,553,226,779
29,173,86,68,18,KCNU1,38,87,553,226,779
30,125,62,48,14,OBSCN,20,63,553,226,779
31,137,68,57,11,PLEKHA6,34,69,553,226,779
32,185,92,65,27,MYEOV,27,93,553,226,779
33,179,89,69,20,MYEOV,35,90,553,226,779
34,119,59,50,9,KCNU1,14,60,553,226,779
35,187,93,77,16,MYEOV,40,94,553,226,779
36,171,85,66,19,PPFIA1,27,86,553,226,779
37,167,83,63,20,MYEOV,35,84,553,226,779
38,157,78,61,17,CDC42BPA,37,79,553,226,779
39,163,81,70,11,ZFPM2,39,82,553,226,779
40,173,86,72,14,DPY19L4,45,87,553,226,779
41,149,74,60,14,TTN,25,75,553,226,779
42,151,75,60,15,MYEOV,28,76,553,226,779
43,143,71,62,9,TRIM67,23,72,553,226,779
44,165,82,63,19,RUNX1T1,29,83,553,226,779
45,173,86,64,22,OBSCN,38,87,553,226,779
46,179,89,64,25,BAALC,34,90,553,226,779
47,155,77,62,15,MYEOV,29,78,553,226,779
48,119,59,50,9,RIMS2,26,60,553,226,779
49,149,74,58,16,TTN,19,75,553,226,779
50,177,88,72,16,ZFPM2,33,89,553,226,779
51,169,84,68,16,PIK3CA,23,85,553,226,779
52,171,85,66,19,CNBD1,25,86,553,226,779
53,147,73,57,16,MYEOV,20,74,553,226,779
54,173,86,72,14,CDC42BPA,27,87,553,226,779
55,151,75,68,7,DNAH14,34,76,553,226,779
56,167,83,58,25,RIMS2,33,84,553,226,779
57,153,76,60,16,NECAB1,34,77,553,226,779
58,179,89,72,17,CNBD1,27,90,553,226,779
59,105,52,46,6,TTN,18,53,553,226,779
60,169,84,67,17,ATP6V1C1,35,85,553,226,779
61,153,76,60,16,PLEKHF2,25,77,553,226,779
62,99,49,45,4,DNAH14,21,50,553,226,779
63,133,66,50,16,NOTCH2,18,67,553,226,779
64,151,75,65,10,MIR548A3,32,76,553,226,779
65,117,58,47,11,MYEOV,21,59,553,226,779
66,171,85,58,27,PPFIA1,25,86,553,226,779
67,167,83,64,19,PIK3CA,22,84,553,226,779
68,175,87,66,21,ZFPM2,34,88,553,226,779
69,169,84,73,11,OBSCN,40,85,553,226,779
70,163,81,72,9,ZFPM2,42,82,553,226,779
71,121,60,55,5,SYBU,31,61,553,226,779
72,189,94,79,15,GATA3,38,95,553,226,779
73,169,84,67,17,PLEKHA6,47,85,553,226,779
74,169,84,69,15,TTN,35,85,553,226,779
75,191,95,71,24,TTN,38,96,553,226,779
76,181,90,61,29,RAD54B,28,91,553,226,779
77,157,78,66,12,GDF6,34,79,553,226,779
78,171,85,69,16,ZFPM2,40,86,553,226,779
79,169,84,69,15,TP53,22,85,553,226,779
80,197,98,75,23,PLEKHA6,46,99,553,226,779
81,161,80,67,13,CDC42BPA,43,81,553,226,779
82,189,94,72,22,DCAF13,42,95,553,226,779
83,171,85,75,10,TARS2,48,86,553,226,779
84,117,58,47,11,TTN,19,59,553,226,779
85,151,75,59,16,CDC42BPA,23,76,553,226,779
86,155,77,58,19,MYEOV,19,78,553,226,779
87,171,85,66,19,CNBD1,40,86,553,226,779
88,165,82,72,10,CDC42BPA,43,83,553,226,779
89,189,94,81,13,ZFPM2,52,95,553,226,779
90,181,90,67,23,INTS8,28,91,553,226,779
91,171,85,66,19,CNBD1,45,86,553,226,779
92,159,79,64,15,CDH1,36,80,553,226,779
93,163,81,59,22,TTN,24,82,553,226,779
94,123,61,49,12,AHCTF1,19,62,553,226,779
95,139,69,53,16,MYEOV,21,70,553,226,779
96,175,87,63,24,SLC26A7,23,88,553,226,779
97,181,90,68,22,GATA3,33,91,553,226,779
98,163,81,68,13,CDC42BPA,41,82,553,226,779
99,185,92,70,22,TTN,37,93,553,226,779
100,121,60,49,11,DNAH14,30,61,553,226,779
101,127,63,58,5,ZFPM2,36,64,553,226,779
102,169,84,71,13,AKT3,38,85,553,226,779
103,205,102,77,25,PLEKHA6,39,103,553,226,779
104,167,83,73,10,TTN,33,84,553,226,779
105,177,88,70,18,ZFPM2,42,89,553,226,779
106,159,79,64,15,CDH1,30,80,553,226,779
107,139,69,59,10,GATA3,34,70,553,226,779
108,153,76,63,13,CDC42BPA,22,77,553,226,779
109,161,80,66,14,INTS8,30,81,553,226,779
110,145,72,57,15,ZFPM2,32,73,553,226,779
111,155,77,64,13,RAD54B,30,78,553,226,779
112,175,87,68,19,MYEOV,28,88,553,226,779
113,191,95,73,22,PDP1,44,96,553,226,779
114,169,84,66,18,TRIM67,37,85,553,226,779
115,155,77,61,16,MYEOV,15,78,553,226,779
116,189,94,69,25,CDC42BPA,33,95,553,226,779
117,201,100,74,26,GATA3,43,101,553,226,779
118,113,56,47,9,AHCTF1,19,57,553,226,779
119,175,87,63,24,PLEKHA6,25,88,553,226,779
120,131,65,57,8,PDP1,32,66,553,226,779
121,167,83,65,18,RN7SL350P,30,84,553,226,779
122,121,60,46,14,PPFIA1,22,61,553,226,779
123,187,93,67,26,MYEOV,26,94,553,226,779
124,163,81,65,16,PLEKHF2,48,82,553,226,779
125,127,63,53,10,PUF60,35,64,553,226,779
126,165,82,70,12,PLEKHA6,39,83,553,226,779
127,155,77,65,12,MYEOV,25,78,553,226,779
128,213,106,77,29,USH2A,47,107,553,226,779
129,169,84,73,11,PDP1,31,85,553,226,779
130,155,77,60,17,MYEOV,24,78,553,226,779
131,161,80,67,13,KCNU1,36,81,553,226,779
132,179,89,65,24,DPY19L4,38,90,553,226,779
133,177,88,77,11,RN7SL350P,46,89,553,226,779
134,149,74,58,16,ZFPM2,35,75,553,226,779
135,183,91,78,13,BCL9,39,92,553,226,779
136,123,61,53,8,TTN,17,62,553,226,779
137,159,79,67,12,LYST,40,80,553,226,779
138,103,51,45,6,PIK3CA,19,52,553,226,779
139,179,89,72,17,MIR3150B,37,90,553,226,779
140,153,76,68,8,RIMS2,37,77,553,226,779
141,165,82,60,22,ZFPM2,29,83,553,226,779
142,189,94,67,27,CDC42BPA,27,95,553,226,779
143,155,77,63,14,MYEOV,33,78,553,226,779
144,161,80,63,17,MYEOV,30,81,553,226,779
145,185,92,67,25,PDP1,25,93,553,226,779
146,169,84,62,22,PIK3CA,22,85,553,226,779
147,171,85,64,21,CDH1,30,86,553,226,779
148,99,49,43,6,TCHH,15,50,553,226,779
149,159,79,65,14,RUNX1T1,44,80,553,226,779
150,203,101,72,29,GATA3,42,102,553,226,779
151,151,75,57,18,COL22A1,29,76,553,226,779
152,129,64,49,15,GATA3,18,65,553,226,779
153,185,92,73,19,KCNU1,45,93,553,226,779
154,37,18,16,2,GATA3,13,19,553,226,779
155,151,75,59,16,SLC26A7,20,76,553,226,779
156,133,66,58,8,TRIM67,27,67,553,226,779
157,161,80,66,14,TRIM67,38,81,553,226,779
158,177,88,69,19,DNAH14,37,89,553,226,779
159,173,86,61,25,TTN,24,87,553,226,779
160,185,92,65,27,TTN,27,93,553,226,779
161,155,77,68,9,USH2A,39,78,553,226,779
162,167,83,68,15,CDH17,36,84,553,226,779
163,183,91,66,25,MYEOV,36,92,553,226,779
164,213,106,78,28,ZFPM2,39,107,553,226,779
165,183,91,68,23,FGFR1,41,92,553,226,779
166,161,80,67,13,PLEKHA6,37,81,553,226,779
167,165,82,64,18,INTS8,29,83,553,226,779
168,163,81,64,17,CDC42BPA,25,82,553,226,779
169,149,74,58,16,MYEOV,17,75,553,226,779
170,145,72,65,7,COL22A1,50,73,553,226,779
171,161,80,62,18,DPY19L4,39,81,553,226,779
172,205,102,78,24,OBSCN,47,103,553,226,779
173,119,59,55,4,MYEOV,31,60,553,226,779
174,107,53,48,5,EPPK1,30,54,553,226,779
175,207,103,74,29,GATA3,29,104,553,226,779
176,111,55,46,9,CDC42BPA,23,56,553,226,779
177,129,64,54,10,NECAB1,33,65,553,226,779
178,131,65,52,13,ERBB2,16,66,553,226,779
179,165,82,63,19,CSMD1,37,83,553,226,779
180,179,89,65,24,INTS8,34,90,553,226,779
181,175,87,58,29,GATA3,19,88,553,226,779
182,185,92,68,24,TRIM67,40,93,553,226,779
183,159,79,62,17,GEM,29,80,553,226,779
184,181,90,63,27,ERBB2,34,91,553,226,779
185,167,83,61,22,MYEOV,36,84,553,226,779
186,171,85,64,21,RN7SL350P,23,86,553,226,779
187,181,90,78,12,FLG,50,91,553,226,779
188,147,73,59,14,MYEOV,21,74,553,226,779
189,149,74,59,15,MYEOV,32,75,553,226,779
190,191,95,71,24,ZFPM2,40,96,553,226,779
191,145,72,59,13,COL22A1,31,73,553,226,779
192,183,91,69,22,C8orf37,37,92,553,226,779
193,155,77,61,16,RIMS2,24,78,553,226,779
194,179,89,65,24,RIMS2,25,90,553,226,779
195,193,96,66,30,RIMS2,37,97,553,226,779
196,131,65,56,9,MYEOV,32,66,553,226,779
197,167,83,63,20,SPTA1,32,84,553,226,779
198,173,86,63,23,CDC42BPA,33,87,553,226,779
199,189,94,67,27,MYEOV,32,95,553,226,779
200,129,64,55,9,ZFPM2,30,65,553,226,779
