gene,deg_tumor_count,deg_tumor_fraction
CTD-2588J6.1,28,0.02564102564102564
RP11-433M22.1,23,0.021062271062271064
CTD-2588J6.2,19,0.0173992673992674
RP3-415N12.1,13,0.011904761904761904
RP11-16E12.2,66,0.06043956043956044
RP11-433M22.2,222,0.2032967032967033
PSMA2P3,94,0.08608058608058608
RP11-181G12.4,39,0.03571428571428571
RP11-181G12.2,6,0.005494505494505495
AC007272.3,14,0.01282051282051282
OR10V3P,5,0.004578754578754579
IGHV7-34-1,21,0.019230769230769232
CPHL1P,0,0.0
CTD-2333K2.1,5,0.004578754578754579
AC016683.5,143,0.13095238095238096
RP11-654A16.3,24,0.02197802197802198
RP1-20N18.4,36,0.03296703296703297
TCOF1,130,0.11904761904761904
NSRP1,130,0.11904761904761904
RP5-1000K24.2,107,0.09798534798534798
RP11-285A1.1,8,0.007326007326007326
SPPL3,103,0.09432234432234432
AF001548.5,112,0.10256410256410256
AP000867.14,83,0.076007326007326
OPA3,108,0.0989010989010989
OPA1,38,0.0347985347985348
RP1-68D18.2,13,0.011904761904761904
RP11-476K15.1,115,0.10531135531135531
RP1-278O22.1,16,0.014652014652014652
AC090587.5,54,0.04945054945054945
AC090587.4,4,0.003663003663003663
RP11-489D6.2,8,0.007326007326007326
RP11-666A8.7,0,0.0
RP11-666A8.8,54,0.04945054945054945
AL359853.1,0,0.0
RNU6-1209P,0,0.0
RP11-190A12.9,5,0.004578754578754579
RNU4ATAC18P,27,0.024725274725274724
AC092652.1,67,0.06135531135531135
RNF219-AS1,4,0.003663003663003663
RP11-61E11.2,5,0.004578754578754579
RP11-61E11.1,46,0.04212454212454213
ITGA8,50,0.045787545787545784
ITGA9,701,0.641941391941392
CTA-113A6.1,76,0.0695970695970696
AC108938.5,0,0.0
RP11-146D12.2,295,0.27014652014652013
ITGA1,136,0.12454212454212454
ITGA2,17,0.015567765567765568
ITGA3,50,0.045787545787545784
ITGA4,55,0.05036630036630037
ITGA5,25,0.022893772893772892
ITGA6,549,0.5027472527472527
ITGA7,258,0.23626373626373626
TRHR,12,0.01098901098901099
AC010468.3,0,0.0
AC010468.2,24,0.02197802197802198
AC010468.1,47,0.04304029304029304
RP11-428L21.2,19,0.0173992673992674
CA15P1,20,0.018315018315018316
CA15P2,75,0.06868131868131869
UFSP1,186,0.17032967032967034
UFSP2,317,0.2902930402930403
RP11-566K19.5,32,0.029304029304029304
RP11-566K19.6,37,0.03388278388278388
RP11-618L22.1,5,0.004578754578754579
RP11-566K19.8,11,0.010073260073260074
RP11-566K19.9,53,0.048534798534798536
C9orf40,212,0.19413919413919414
RP11-379H18.1,134,0.1227106227106227
NUDT19P5,11,0.010073260073260074
RP11-1094M14.7,10,0.009157509157509158
TEX28P2,3,0.0027472527472527475
TEX28P1,3,0.0027472527472527475
AC141002.1,0,0.0
AC003688.1,53,0.048534798534798536
FAM212B,515,0.4716117216117216
FAM212A,69,0.06318681318681318
CHST9,128,0.11721611721611722
CHST8,139,0.12728937728937728
CHST1,142,0.13003663003663005
RP11-155G15.3,77,0.07051282051282051
CHST3,725,0.6639194139194139
CHST2,467,0.42765567765567764
CHST5,4,0.003663003663003663
CHST4,40,0.03663003663003663
CHST7,238,0.21794871794871795
CHST6,134,0.1227106227106227
ITGAX,28,0.02564102564102564
RPS4XP3,2,0.0018315018315018315
RPS4XP1,14,0.01282051282051282
RPS4XP6,35,0.03205128205128205
RPS4XP7,12,0.01098901098901099
RPS4XP4,96,0.08791208791208792
BCL2A1,96,0.08791208791208792
RPS4XP8,19,0.0173992673992674
RPS4XP9,27,0.024725274725274724
RNU4-76P,0,0.0
ITGAV,53,0.048534798534798536
RP11-16L9.1,189,0.17307692307692307
AC004448.5,37,0.03388278388278388
ITGAL,135,0.12362637362637363
ITGAM,18,0.016483516483516484
AC004448.2,36,0.03296703296703297
RP11-379L18.3,41,0.037545787545787544
ITGAD,17,0.015567765567765568
ITGAE,73,0.06684981684981685
CITF22-24E5.1,243,0.22252747252747251
RP11-11H9.2,81,0.07417582417582418
AC084149.1,34,0.031135531135531136
AC084149.2,93,0.08516483516483517
ATP1B3-AS1,4,0.003663003663003663
RP11-456J20.2,8,0.007326007326007326
AP002802.1,0,0.0
IGF2R,111,0.10164835164835165
CTD-2587H24.5,314,0.2875457875457875
CTD-2587H24.4,61,0.055860805860805864
RP11-54J7.2,4,0.003663003663003663
SLC36A4,147,0.1346153846153846
SLC36A3,17,0.015567765567765568
CKS1B,347,0.31776556776556775
SLC36A1,81,0.07417582417582418
AC114973.1,5,0.004578754578754579
RP11-491F9.3,28,0.02564102564102564
RP11-317B17.3,12,0.01098901098901099
ITPK1-AS1,35,0.03205128205128205
ARTN,426,0.3901098901098901
ART1,34,0.031135531135531136
ART3,214,0.19597069597069597
ART5,200,0.18315018315018314
ART4,482,0.4413919413919414
RP11-1055B8.10,137,0.12545787545787546
AC009120.4,11,0.010073260073260074
RP11-261P13.5,7,0.00641025641025641
AC129492.1,5,0.004578754578754579
AC129492.6,11,0.010073260073260074
MIR4267,0,0.0
CRTAM,64,0.05860805860805861
RP11-170L9.1,6,0.005494505494505495
DPYD-IT1,37,0.03388278388278388
CADPS2,148,0.13553113553113552
RLF,77,0.07051282051282051
RP1-15D7.1,7,0.00641025641025641
RNU6-590P,0,0.0
NUDT19P3,21,0.019230769230769232
CTD-3116E22.8,2,0.0018315018315018315
CTD-3116E22.7,1,0.0009157509157509158
CTD-3116E22.6,23,0.021062271062271064
CRTAP,69,0.06318681318681318
RP11-85D18.1,17,0.015567765567765568
ADPGK,101,0.0924908424908425
RP4-697P8.3,69,0.06318681318681318
CPEB4,102,0.09340659340659341
CNN2P6,46,0.04212454212454213
CPEB1,618,0.5659340659340659
CPEB3,79,0.07234432234432235
CPEB2,150,0.13736263736263737
SRBD1,134,0.1227106227106227
ABAT,238,0.21794871794871795
RP11-758H9.2,194,0.17765567765567766
C11orf98P1,22,0.020146520146520148
AE000658.31,62,0.056776556776556776
RP11-418B12.1,15,0.013736263736263736
CTD-3065B20.3,7,0.00641025641025641
CTD-3065B20.2,19,0.0173992673992674
AP000568.2,93,0.08516483516483517
RP11-795J1.2,15,0.013736263736263736
RP11-795J1.1,0,0.0
POU5F1B,41,0.037545787545787544
AP001063.1,36,0.03296703296703297
AC006482.1,3,0.0027472527472527475
LL0XNC01-36H8.1,10,0.009157509157509158
RP11-300J18.2,22,0.020146520146520148
RP11-300J18.1,22,0.020146520146520148
FAM41C,4,0.003663003663003663
PHOX2A,25,0.022893772893772892
RN7SL734P,6,0.005494505494505495
PHOX2B,42,0.038461538461538464
RP1-207H1.3,222,0.2032967032967033
NLRP14,8,0.007326007326007326
UPK2,99,0.09065934065934066
CFH,82,0.07509157509157509
CFI,614,0.5622710622710623
ANKFY1,224,0.20512820512820512
MESTP2,6,0.005494505494505495
CFB,396,0.3626373626373626
TPT1-AS1,334,0.3058608058608059
AF001548.3,0,0.0
RP1-29C18.10,20,0.018315018315018316
CFP,25,0.022893772893772892
RNU5B-1,33,0.03021978021978022
RP11-509A17.3,65,0.05952380952380952
AAAS,149,0.13644688644688643
RNU6-767P,1,0.0009157509157509158
AJ271736.10,31,0.028388278388278388
SIDT1,106,0.09706959706959707
AP003900.6,138,0.12637362637362637
SIDT2,265,0.24267399267399267
RP11-2N1.2,7,0.00641025641025641
RP11-2N1.3,16,0.014652014652014652
RP11-702H23.2,3,0.0027472527472527475
RP11-2N1.1,9,0.008241758241758242
RP11-78O9.1,21,0.019230769230769232
RP11-702H23.6,8,0.007326007326007326
SAGE1,41,0.037545787545787544
AC114271.2,85,0.07783882783882784
RP11-89K11.1,378,0.34615384615384615
AAGAB,298,0.27289377289377287
AC093802.1,19,0.0173992673992674
C4orf19,318,0.29120879120879123
AL096700.1,0,0.0
SLC7A6OS,171,0.1565934065934066
RP11-128P17.3,1,0.0009157509157509158
RP11-128P17.2,41,0.037545787545787544
RP11-128P17.1,3,0.0027472527472527475
C4orf17,30,0.027472527472527472
EIF3EP2,22,0.020146520146520148
EIF3EP1,88,0.08058608058608059
RP11-128P17.4,20,0.018315018315018316
RNU6-67P,0,0.0
RP11-190A12.7,28,0.02564102564102564
CTB-179K24.3,28,0.02564102564102564
RP11-327O17.2,59,0.05402930402930403
SCYL1,174,0.15934065934065933
RP13-941N14.1,5,0.004578754578754579
IGLVI-38,3,0.0027472527472527475
RNVU1-19,28,0.02564102564102564
NBEAP1,259,0.23717948717948717
RP11-358B23.7,14,0.01282051282051282
NBEAP3,178,0.163003663003663
RFPL4AL1,16,0.014652014652014652
RP11-796A5.3,43,0.039377289377289376
RNU5B-6P,0,0.0
SC22CB-1D7.1,91,0.08333333333333333
RNU6ATAC39P,19,0.0173992673992674
RP11-666A8.9,4,0.003663003663003663
RP11-388C12.5,2,0.0018315018315018315
ABCE1,69,0.06318681318681318
RP3-388M5.8,50,0.045787545787545784
TEN1-CDK3,12,0.01098901098901099
AC090283.3,43,0.039377289377289376
RP5-1172N10.4,98,0.08974358974358974
RP5-1172N10.2,246,0.22527472527472528
RP13-786C16.1,21,0.019230769230769232
RP11-555K12.2,15,0.013736263736263736
AC010723.2,0,0.0
AC073127.1,3,0.0027472527472527475
RP11-416A14.1,20,0.018315018315018316
RP4-815D20.1,4,0.003663003663003663
MKRN2OS,6,0.005494505494505495
RP4-631H13.2,70,0.0641025641025641
MSL3P1,209,0.19139194139194138
RP4-631H13.6,6,0.005494505494505495
RP4-631H13.5,31,0.028388278388278388
RP4-631H13.4,7,0.00641025641025641
AC068858.1,398,0.36446886446886445
RP11-678L1.1,7,0.00641025641025641
NCBP2-AS1,16,0.014652014652014652
NCBP2-AS2,140,0.1282051282051282
MDC1-AS1,16,0.014652014652014652
RP11-67H24.3,7,0.00641025641025641
RP1-197J16.2,5,0.004578754578754579
RP11-549L6.3,105,0.09615384615384616
RP11-549L6.2,24,0.02197802197802198
C15orf26,85,0.07783882783882784
C15orf27,20,0.018315018315018316
RP1-197J16.1,2,0.0018315018315018315
GS1-21A4.2,8,0.007326007326007326
AL138810.1,0,0.0
RNU6-163P,1,0.0009157509157509158
RP5-1077H22.1,2,0.0018315018315018315
RP5-1077H22.2,46,0.04212454212454213
MRPS31P4,123,0.11263736263736264
ZNF117,35,0.03205128205128205
ZNF114,327,0.29945054945054944
ZNF112,65,0.05952380952380952
SEZ6L,190,0.17399267399267399
RP11-30G8.1,5,0.004578754578754579
AC096582.8,70,0.0641025641025641
RP11-1094M14.12,17,0.015567765567765568
AC096582.9,23,0.021062271062271064
AL031653.1,0,0.0
RP11-430L16.1,27,0.024725274725274724
MIR6780A,0,0.0
RP11-1094M14.14,0,0.0
PRKAR2A,119,0.10897435897435898
PRKAR2B,44,0.040293040293040296
MAGT1,47,0.04304029304029304
IGKV1OR10-1,45,0.04120879120879121
TMEM200B,188,0.17216117216117216
RNU7-104P,0,0.0
RP11-378J18.10,23,0.021062271062271064
CTA-113A6.2,37,0.03388278388278388
ITGA2B,140,0.1282051282051282
RP11-95I16.4,7,0.00641025641025641
FAM58DP,47,0.04304029304029304
RP11-109L13.5,26,0.023809523809523808
KB-1000E4.2,69,0.06318681318681318
PHACTR4,17,0.015567765567765568
PHACTR1,120,0.10989010989010989
OR2K2,117,0.10714285714285714
PHACTR3,17,0.015567765567765568
PHACTR2,151,0.1382783882783883
KRTAP2-3,23,0.021062271062271064
KRTAP2-2,223,0.2042124542124542
KRTAP2-1,77,0.07051282051282051
RP11-680G24.4,53,0.048534798534798536
BLOC1S2P1,3,0.0027472527472527475
KRTAP2-4,27,0.024725274725274724
RP4-724E16.2,78,0.07142857142857142
CASP5,57,0.0521978021978022
RP11-776A13.3,23,0.021062271062271064
RP11-776A13.2,1,0.0009157509157509158
RP11-776A13.1,17,0.015567765567765568
MIR4704,0,0.0
MIR4705,1,0.0009157509157509158
MIR4706,0,0.0
RP11-146D12.5,37,0.03388278388278388
MIR4700,58,0.05311355311355311
MIR4701,1,0.0009157509157509158
RP3-523C21.2,3,0.0027472527472527475
MIR4703,0,0.0
ZNF736P3Y,0,0.0
RP11-3L10.2,4,0.003663003663003663
AC133104.2,1,0.0009157509157509158
RP11-713D19.1,53,0.048534798534798536
SBF1P1,40,0.03663003663003663
RP11-351I21.7,8,0.007326007326007326
RP11-351I21.6,4,0.003663003663003663
RP11-542K23.10,2,0.0018315018315018315
AC234917.1,1,0.0009157509157509158
VMP1,78,0.07142857142857142
PPIAP9,75,0.06868131868131869
PPIAP6,76,0.0695970695970696
PPIAP7,34,0.031135531135531136
PPIAP1,14,0.01282051282051282
PPIAP2,107,0.09798534798534798
PPIAP3,94,0.08608058608058608
AC002551.1,130,0.11904761904761904
NR1D1,7,0.00641025641025641
NR1D2,83,0.076007326007326
RNU6-471P,0,0.0
RNU6-356P,0,0.0
RP11-162P23.2,0,0.0
BTG3P1,9,0.008241758241758242
RP11-380D23.2,42,0.038461538461538464
RP11-380D23.1,33,0.03021978021978022
OGFR,117,0.10714285714285714
RPS26P43,1,0.0009157509157509158
RP11-335O13.8,58,0.05311355311355311
AC003973.3,294,0.2692307692307692
RPS26P49,46,0.04212454212454213
RP11-335O13.7,24,0.02197802197802198
AL591415.1,0,0.0
CTD-2620I22.1,25,0.022893772893772892
CH17-472G23.1,0,0.0
RP11-816J6.3,66,0.06043956043956044
PTCH2,455,0.4166666666666667
PTCH1,660,0.6043956043956044
AOAH-IT1,31,0.028388278388278388
TIMM44,93,0.08516483516483517
AC137055.1,14,0.01282051282051282
RAD9B,109,0.09981684981684982
RAD9A,134,0.1227106227106227
ERGIC2,119,0.10897435897435898
ERGIC3,120,0.10989010989010989
VN2R10P,13,0.011904761904761904
ERGIC1,555,0.5082417582417582
MIR3165,0,0.0
RP11-291L19.1,43,0.039377289377289376
MIR3167,0,0.0
MIR3166,0,0.0
MIR3161,0,0.0
MIR3163,0,0.0
MIR3162,0,0.0
B3GAT3,133,0.12179487179487179
B3GAT2,151,0.1382783882783883
B3GAT1,108,0.0989010989010989
MIR3169,0,0.0
MIR3168,0,0.0
RP11-150D5.2,24,0.02197802197802198
RNU6-238P,1,0.0009157509157509158
CALM2,104,0.09523809523809523
CALM3,142,0.13003663003663005
SPG21,117,0.10714285714285714
SPG20,586,0.5366300366300366
RP11-357N13.1,10,0.009157509157509158
GSDMA,2,0.0018315018315018315
GSDMB,96,0.08791208791208792
GSDMC,65,0.05952380952380952
GSDMD,159,0.14560439560439561
UPK1A,126,0.11538461538461539
UPK1B,28,0.02564102564102564
RP11-357N13.6,15,0.013736263736263736
DLGAP2,724,0.663003663003663
DLGAP3,288,0.26373626373626374
AC023310.1,0,0.0
DLGAP1,280,0.2564102564102564
DLGAP4,179,0.16391941391941392
DLGAP5,433,0.3965201465201465
KB-1507C5.4,2,0.0018315018315018315
RP11-428C19.4,73,0.06684981684981685
RP11-554D14.1,25,0.022893772893772892
RP11-554D14.7,12,0.01098901098901099
RP11-554D14.6,35,0.03205128205128205
RP11-554D14.5,38,0.0347985347985348
FBXL14,134,0.1227106227106227
RP5-881P19.7,29,0.026556776556776556
OIP5,551,0.5045787545787546
MIR502,0,0.0
RP11-215I16.2,0,0.0
RNU1-134P,35,0.03205128205128205
AL157392.1,0,0.0
RP11-1081L13.3,19,0.0173992673992674
FAM169A,63,0.057692307692307696
INO80B-WBP1,24,0.02197802197802198
AL603650.1,0,0.0
RNU6-603P,0,0.0
AL603650.3,1,0.0009157509157509158
AL603650.2,9,0.008241758241758242
AL603650.5,0,0.0
AL603650.4,2,0.0018315018315018315
MIR506,0,0.0
AC138645.1,0,0.0
PTPN18,70,0.0641025641025641
LRRFIP2,182,0.16666666666666666
AC063980.3,2,0.0018315018315018315
PTPN13,216,0.1978021978021978
PTPN12,64,0.05860805860805861
PTPN11,58,0.05311355311355311
RPL32P35,11,0.010073260073260074
RP11-1028N23.3,9,0.008241758241758242
RPL32P33,126,0.11538461538461539
RNU6-960P,0,0.0
PTPN14,667,0.6108058608058609
XXyac-YM21GA2.3,50,0.045787545787545784
LYAR,241,0.2206959706959707
KB-1043D8.8,46,0.04212454212454213
RP11-716O23.1,27,0.024725274725274724
AC002465.2,7,0.00641025641025641
RP11-379C10.4,24,0.02197802197802198
AC138035.2,49,0.04487179487179487
AC138035.3,5,0.004578754578754579
RP11-151H2.3,37,0.03388278388278388
RP11-123C21.2,28,0.02564102564102564
RP11-123C21.3,52,0.047619047619047616
RP11-123C21.1,22,0.020146520146520148
AC008060.8,39,0.03571428571428571
RN7SL618P,3,0.0027472527472527475
C2orf81,58,0.05311355311355311
C2orf80,122,0.11172161172161173
C2orf83,7,0.00641025641025641
C2orf82,7,0.00641025641025641
RP11-192H6.2,6,0.005494505494505495
SNORA84,78,0.07142857142857142
FAM210CP,6,0.005494505494505495
C2orf88,838,0.7673992673992674
RP11-415A20.1,7,0.00641025641025641
RP11-556H2.4,19,0.0173992673992674
CTD-2230M5.1,0,0.0
CTD-2230M5.3,7,0.00641025641025641
TRAPPC6A,98,0.08974358974358974
RP11-556H2.3,7,0.00641025641025641
MZB1,16,0.014652014652014652
TRAPPC6B,112,0.10256410256410256
RNU4-56P,3,0.0027472527472527475
CYP3A54P,0,0.0
CDK3,105,0.09615384615384616
HLA-DQB1,19,0.0173992673992674
MSMB,82,0.07509157509157509
HLA-DQB3,0,0.0
HLA-DQB2,53,0.048534798534798536
RP11-415K20.2,25,0.022893772893772892
HSPE1P16,9,0.008241758241758242
HSPE1P14,29,0.026556776556776556
HSPE1P12,9,0.008241758241758242
RPL23AP29,20,0.018315018315018316
HSPE1P10,6,0.005494505494505495
HSPE1P11,17,0.015567765567765568
RP11-51L5.7,6,0.005494505494505495
RP11-51L5.5,27,0.024725274725274724
CDK7,219,0.20054945054945056
RP11-51L5.3,41,0.037545787545787544
RP11-51L5.2,13,0.011904761904761904
FOXS1,52,0.047619047619047616
IQCF5-AS1,20,0.018315018315018316
RPL23AP27,4,0.003663003663003663
CTC-360P9.4,14,0.01282051282051282
CTC-360P9.5,0,0.0
CTC-360P9.2,5,0.004578754578754579
HAPLN4,1,0.0009157509157509158
CTD-2267G17.2,0,0.0
AC008060.5,4,0.003663003663003663
RP11-155N3.4,22,0.020146520146520148
RP11-411H5.1,52,0.047619047619047616
HMGB3P3,15,0.013736263736263736
RPL23AP23,78,0.07142857142857142
MIR4312,0,0.0
AL357060.1,0,0.0
RP4-706G24.1,21,0.019230769230769232
NDUFA3P3,7,0.00641025641025641
CAMKK2,75,0.06868131868131869
CAMKK1,80,0.07326007326007326
RP11-255L13.1,49,0.04487179487179487
MYDGF,192,0.17582417582417584
RPL23AP21,0,0.0
NDUFA3P4,4,0.003663003663003663
PPP1R1AP2,5,0.004578754578754579
HMGN2P31,58,0.05311355311355311
RP11-409K20.6,42,0.038461538461538464
RP11-409K20.7,37,0.03388278388278388
RNU6-938P,1,0.0009157509157509158
RP11-863H1.1,30,0.027472527472527472
U47924.27,1,0.0009157509157509158
TTTY25P,0,0.0
CHMP3,133,0.12179487179487179
RPL36AL,91,0.08333333333333333
RP11-128B16.3,32,0.029304029304029304
CHMP7,329,0.30128205128205127
CHMP6,86,0.07875457875457875
CHMP5,219,0.20054945054945056
HNRNPCP8,13,0.011904761904761904
OR52N4,307,0.28113553113553114
OR52N5,45,0.04120879120879121
OR52N2,11,0.010073260073260074
AC005757.6,51,0.046703296703296704
RNU7-140P,0,0.0
OR52N1,29,0.026556776556776556
NCLP2,15,0.013736263736263736
SPDYE12P,30,0.027472527472527472
LY6G6C,24,0.02197802197802198
HOXA13,249,0.22802197802197802
LY6G6E,43,0.039377289377289376
HOXA11,48,0.04395604395604396
RN7SL253P,59,0.05402930402930403
RN7SL320P,21,0.019230769230769232
LIPT1P1,39,0.03571428571428571
GTF2I,98,0.08974358974358974
COX4I1P1,10,0.009157509157509158
COX4I1P2,103,0.09432234432234432
GALNTL5,66,0.06043956043956044
RPS4XP2,6,0.005494505494505495
GALNTL6,17,0.015567765567765568
RP11-338E21.2,19,0.0173992673992674
RP11-338E21.3,31,0.028388278388278388
RP13-258O15.1,3,0.0027472527472527475
RNU6-1092P,0,0.0
RP11-76N22.1,43,0.039377289377289376
AC004837.4,64,0.05860805860805861
RP11-442O18.1,0,0.0
RP11-442O18.2,6,0.005494505494505495
HNRNPCP2,161,0.14743589743589744
RP11-756H6.1,61,0.055860805860805864
SLC25A24P1,330,0.3021978021978022
CTD-2547G23.4,16,0.014652014652014652
TDH,38,0.0347985347985348
SLC25A24P2,94,0.08608058608058608
CTD-2547G23.2,23,0.021062271062271064
KRTAP11-1,23,0.021062271062271064
TDG,120,0.10989010989010989
SCAMP1-AS1,61,0.055860805860805864
HN1,599,0.5485347985347986
RNU6-1329P,1,0.0009157509157509158
AC010874.1,0,0.0
RP1-59D14.8,0,0.0
AP001468.58,32,0.029304029304029304
GOLGA8IP,0,0.0
RP11-274M17.1,54,0.04945054945054945
RP11-10C24.3,26,0.023809523809523808
LRRC27,109,0.09981684981684982
LRRC26,4,0.003663003663003663
LRRC25,8,0.007326007326007326
LRRC24,135,0.12362637362637363
LRRC23,158,0.1446886446886447
MPDU1,209,0.19139194139194138
RP11-365D23.4,10,0.009157509157509158
MTHFD2P4,4,0.003663003663003663
CTD-3126B10.1,51,0.046703296703296704
LRRC29,159,0.14560439560439561
LRRC28,424,0.3882783882783883
GCNT4,457,0.4184981684981685
GCNT7,15,0.013736263736263736
GCNT6,6,0.005494505494505495
GCNT1,48,0.04395604395604396
AC010132.11,6,0.005494505494505495
GCNT3,68,0.06227106227106227
GCNT2,71,0.06501831501831502
RP11-115H13.1,10,0.009157509157509158
AC010132.10,56,0.05128205128205128
AC144450.1,14,0.01282051282051282
LPCAT4,244,0.22344322344322345
LPCAT2,408,0.37362637362637363
LPCAT3,84,0.07692307692307693
RPL35AP,13,0.011904761904761904
LPCAT1,482,0.4413919413919414
NDUFB11P1,17,0.015567765567765568
RNU6-1021P,1,0.0009157509157509158
RP11-134C1.1,0,0.0
RP11-129J12.1,8,0.007326007326007326
AC090286.2,28,0.02564102564102564
RP11-227H4.1,8,0.007326007326007326
RP11-227H4.5,35,0.03205128205128205
RP11-48L13.1,4,0.003663003663003663
RP11-498M5.2,31,0.028388278388278388
TAGLN,331,0.3031135531135531
CCDC178,767,0.7023809523809523
DLEC1,323,0.2957875457875458
ALPP,125,0.11446886446886446
RP11-357H14.16,35,0.03205128205128205
RP11-357H14.17,251,0.22985347985347984
MIR513B,0,0.0
MIR513C,0,0.0
CCDC170,275,0.2518315018315018
CCDC171,69,0.06318681318681318
CCDC172,53,0.048534798534798536
CCDC173,43,0.039377289377289376
CCDC174,78,0.07142857142857142
CCDC175,152,0.1391941391941392
CCDC176,88,0.08058608058608059
CCDC177,37,0.03388278388278388
PDK1,56,0.05128205128205128
CTD-2303H24.2,81,0.07417582417582418
PDK3,57,0.0521978021978022
PDK2,118,0.10805860805860806
EBP,298,0.27289377289377287
PDK4,538,0.4926739926739927
LNPEP,56,0.05128205128205128
ALPI,129,0.11813186813186813
RP11-324I22.4,164,0.15018315018315018
SEC61A1,336,0.3076923076923077
SEC61A2,239,0.21886446886446886
ALPL,378,0.34615384615384615
RP11-1437A8.6,16,0.014652014652014652
PECR,8,0.007326007326007326
RP11-127O4.2,38,0.0347985347985348
PKP4P1,71,0.06501831501831502
MIR193A,1,0.0009157509157509158
MIR193B,0,0.0
RP11-127O4.3,223,0.2042124542124542
AL357115.1,0,0.0
RP11-238F2.1,0,0.0
RN7SKP158,42,0.038461538461538464
RN7SKP159,1,0.0009157509157509158
RN7SKP156,6,0.005494505494505495
PLA2G12AP1,7,0.00641025641025641
RN7SKP154,26,0.023809523809523808
RN7SKP155,3,0.0027472527472527475
RN7SKP152,6,0.005494505494505495
RN7SKP153,21,0.019230769230769232
RN7SKP150,15,0.013736263736263736
RN7SKP151,21,0.019230769230769232
LINC01091,504,0.46153846153846156
LINC01090,15,0.013736263736263736
LINC01093,3,0.0027472527472527475
LINC01095,9,0.008241758241758242
RP11-282I1.2,5,0.004578754578754579
RP11-282I1.1,104,0.09523809523809523
LINC01096,187,0.17124542124542125
LINC01099,7,0.00641025641025641
LINC01098,56,0.05128205128205128
RP11-304L19.13,109,0.09981684981684982
RP11-304L19.12,228,0.2087912087912088
CTAGE11P,21,0.019230769230769232
RP11-255M2.1,52,0.047619047619047616
HMGN2P19,3,0.0027472527472527475
HMGN2P18,106,0.09706959706959707
RP11-727A23.8,50,0.045787545787545784
AL157372.1,0,0.0
RP11-49I4.3,17,0.015567765567765568
D21S2088E,29,0.026556776556776556
RP5-882O7.4,34,0.031135531135531136
HMGN2P11,18,0.016483516483516484
HMGN2P10,9,0.008241758241758242
RP5-882O7.1,8,0.007326007326007326
HMGN2P16,14,0.01282051282051282
HMGN2P15,232,0.21245421245421245
DDIT3,65,0.05952380952380952
DDIT4,9,0.008241758241758242
SURF6P1,0,0.0
DOCK9-AS1,19,0.0173992673992674
RIIAD1,316,0.2893772893772894
RNU6-816P,0,0.0
AC007163.2,93,0.08516483516483517
RP1-308E4.1,32,0.029304029304029304
CTHRC1P1,41,0.037545787545787544
RP11-769O8.3,9,0.008241758241758242
RP11-170M17.2,23,0.021062271062271064
RP11-170M17.1,65,0.05952380952380952
GOLGA8T,0,0.0
OR5R1,6,0.005494505494505495
GOLGA8Q,0,0.0
GOLGA8S,201,0.18406593406593408
GOLGA8R,216,0.1978021978021978
GOLGA8M,189,0.17307692307692307
GOLGA8O,0,0.0
GOLGA8N,463,0.423992673992674
GOLGA8H,0,0.0
GOLGA8K,150,0.13736263736263737
GOLGA8J,5,0.004578754578754579
RP11-726G23.8,0,0.0
GOLGA8G,1,0.0009157509157509158
GOLGA8F,1,0.0009157509157509158
GOLGA8A,202,0.184981684981685
HYAL1,606,0.554945054945055
GOLGA8B,88,0.08058608058608059
CT45A9,34,0.031135531135531136
CT45A8,45,0.04120879120879121
CT45A1,67,0.06135531135531135
PTPMT1,205,0.18772893772893773
CT45A2,45,0.04120879120879121
CT45A5,131,0.11996336996336997
RP5-1110E20.1,28,0.02564102564102564
CT45A7,29,0.026556776556776556
CT45A6,25,0.022893772893772892
FTCDNL1,153,0.1401098901098901
VMO1,51,0.046703296703296704
OGFR-AS1,6,0.005494505494505495
CTD-2547L16.2,25,0.022893772893772892
GTF3AP1,11,0.010073260073260074
GTF3AP6,85,0.07783882783882784
GTF3AP5,11,0.010073260073260074
